name,nodes,edges,upper_bound,lower_bound,runtime,memory_usage,model,parameters,density,heuristic,max_clique,max_degree
GEOM80b.col,80,663,60,60,7.938593,136.24609,POPHyb-SAT,search:descending,0.20981,98.0,12.0,30.0
GEOM50b.col,50,249,35,35,0.264516,72.41797,POPHyb-SAT,search:descending,0.203265,54.0,8.0,18.0
GEOM60a.col,60,339,50,50,0.515942,87.76172,POPHyb-SAT,search:descending,0.191525,61.0,10.0,19.0
GEOM70.col,70,267,38,38,0.085742,79.78516,POPHyb-SAT,search:descending,0.110559,44.0,8.0,14.0
GEOM30b.col,30,81,26,26,0.0112,59.70703,POPHyb-SAT,search:descending,0.186207,27.0,5.0,11.0
c21_3_d2.col,21,105,7,7,0.005028,60.25781,POPHyb-SAT,search:descending,0.5,8.0,7.0,16.0
c21_8_d1.col,21,105,9,9,0.010113,60.19531,POPHyb-SAT,search:descending,0.5,11.0,7.0,16.0
c21_1_d2.col,21,105,7,7,0.005284,59.20703,POPHyb-SAT,search:descending,0.5,8.0,7.0,16.0
GEOM40a.col,40,146,37,37,0.122456,77.06641,POPHyb-SAT,search:descending,0.187179,50.0,7.0,13.0
GEOM40b.col,40,157,33,33,0.059238,69.95703,POPHyb-SAT,search:descending,0.201282,40.0,7.0,14.0
c21_2_d1.col,21,105,9,9,0.009916,59.51953,POPHyb-SAT,search:descending,0.5,11.0,7.0,16.0
GEOM110a.col,110,1207,69,69,306.987315,202.64453,POPHyb-SAT,search:descending,0.201334,109.0,14.0,33.0
GEOM120a.col,120,1434,82,82,147.094176,162.39453,POPHyb-SAT,search:descending,0.20084,109.0,16.0,36.0
c55_2_d2.col,55,362,7,7,0.008358,62.45703,POPHyb-SAT,search:descending,0.243771,8.0,7.0,19.0
GEOM20.col,20,20,21,21,0.015309,60.25781,POPHyb-SAT,search:descending,0.105263,24.0,5.0,5.0
