name,nodes,edges,upper_bound,lower_bound,runtime,memory_usage,model,parameters,density,heuristic,max_clique,max_degree
GEOM110.col,110,638,50,50,0.698842,89.73438,POP-SAT,search:descending,0.106422,64.0,9.0,20.0
c21_5_d2.col,21,105,7,7,0.004346,60.33203,POP-SAT,search:descending,0.5,8.0,7.0,16.0
c21_8_d2.col,21,105,9,9,0.010404,59.71875,POP-SAT,search:descending,0.5,11.0,7.0,16.0
c21_7_d2.col,21,105,7,7,0.004246,59.71875,POP-SAT,search:descending,0.5,8.0,7.0,16.0
GEOM70a.col,70,459,61,61,2.575519,88.35156,POP-SAT,search:descending,0.190062,72.0,11.0,21.0
c21_4_d1.col,21,105,9,9,0.011341,59.65625,POP-SAT,search:descending,0.5,11.0,7.0,16.0
GEOM110b.col,110,1256,77,77,228.582018,158.85156,POP-SAT,search:descending,0.209508,121.0,15.0,40.0
GEOM80a.col,80,612,63,63,4.58078,96.67578,POP-SAT,search:descending,0.193671,79.0,12.0,24.0
GEOM30a.col,30,81,27,27,0.020823,60.20703,POP-SAT,search:descending,0.186207,32.0,6.0,11.0
GEOM80b.col,80,663,60,60,4.192418,95.58203,POP-SAT,search:descending,0.20981,98.0,12.0,30.0
GEOM50b.col,50,249,35,35,0.178513,77.73438,POP-SAT,search:descending,0.203265,54.0,8.0,18.0
GEOM60a.col,60,339,50,50,0.40724,82.12109,POP-SAT,search:descending,0.191525,61.0,10.0,19.0
GEOM70.col,70,267,38,38,0.063739,70.82422,POP-SAT,search:descending,0.110559,44.0,8.0,14.0
GEOM30b.col,30,81,26,26,0.009089,59.84375,POP-SAT,search:descending,0.186207,27.0,5.0,11.0
c21_3_d2.col,21,105,7,7,0.003893,59.71875,POP-SAT,search:descending,0.5,8.0,7.0,16.0
c21_8_d1.col,21,105,9,9,0.010782,59.71875,POP-SAT,search:descending,0.5,11.0,7.0,16.0
c21_1_d2.col,21,105,7,7,0.004448,59.84375,POP-SAT,search:descending,0.5,8.0,7.0,16.0
GEOM40a.col,40,146,37,37,0.091193,69.01562,POP-SAT,search:descending,0.187179,50.0,7.0,13.0
GEOM40b.col,40,157,33,33,0.043148,66.12891,POP-SAT,search:descending,0.201282,40.0,7.0,14.0
c21_2_d1.col,21,105,9,9,0.010907,59.65625,POP-SAT,search:descending,0.5,11.0,7.0,16.0
GEOM110a.col,110,1207,69,69,295.247043,205.88281,POP-SAT,search:descending,0.201334,109.0,14.0,33.0
GEOM120a.col,120,1434,82,82,106.476789,155.88672,POP-SAT,search:descending,0.20084,109.0,16.0,36.0
c55_2_d2.col,55,362,7,7,0.006291,62.53906,POP-SAT,search:descending,0.243771,8.0,7.0,19.0
GEOM20.col,20,20,21,21,0.010848,59.71875,POP-SAT,search:descending,0.105263,24.0,5.0,5.0
