name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,restored,minishrunken,decisions,lucky,weakened,subsumed,minimized,strengthened,vivified,fixed,reduced,substituted,eliminated,chronological,rephased,reactivated,stabilizing,shrunken,walked
GEOM110b.col,110,1256,121,35750,447345,OPTIMAL,77,0.152057,660.024,660.176,188.12109,368120.0,81912.0,0.0,2194950.0,3719540000.0,13365500.0,13562500.0,470426000.0,19841.0,49574700.0,15914100.0,415.0,402971.0,4861390.0,0.0,899908.0,37811.0,270139.0,7859130.0,7664.0,100673.0,1404700.0,250.0,96.0,74.0,148642000.0,59.0
GEOM80a.col,80,612,79,16480,154655,OPTIMAL,63,0.0506754,6.37248,6.42316,89.24219,3636.0,2109.0,0.0,184306.0,65585300.0,259357.0,263450.0,6102540.0,9378.0,644323.0,383781.0,,109082.0,111656.0,0.0,114588.0,531.0,22957.0,114610.0,1917.0,24735.0,31617.0,32.0,,14.0,1787380.0,3.0
GEOM30a.col,30,81,32,2310,11165,OPTIMAL,27,0.00497393,0.00360128,0.00857522,45.42188,,11.0,0.0,,68415.0,309.0,317.0,4006.0,,359.0,1240.0,20.0,,19.0,0.0,11.0,,1410.0,,,,101.0,,,,392.0,
GEOM80b.col,80,663,98,20640,201871,OPTIMAL,60,0.0691848,4.9439,5.01309,94.07031,3711.0,2433.0,0.0,164756.0,69895600.0,214515.0,219026.0,4653590.0,2102.0,382828.0,620253.0,220.0,125290.0,100360.0,0.0,179560.0,273.0,141231.0,82918.0,809.0,33465.0,31974.0,32.0,74.0,18.0,1385300.0,2.0
GEOM50b.col,50,249,54,6750,45581,OPTIMAL,35,0.0232166,0.0886039,0.11182,62.08203,31.0,95.0,0.0,,1968470.0,4537.0,4722.0,58884.0,,4632.0,35166.0,95.0,,585.0,0.0,94.0,,20751.0,378.0,,,1206.0,1.0,,1.0,9957.0,
GEOM60a.col,60,339,61,9360,71076,OPTIMAL,50,0.0233792,0.487368,0.510747,68.47656,202.0,404.0,0.0,1.0,5660880.0,17817.0,18244.0,259905.0,,19660.0,41423.0,25.0,16926.0,8611.0,0.0,14698.0,63.0,8647.0,2669.0,363.0,4594.0,3226.0,5.0,,4.0,64391.0,
GEOM70.col,70,267,44,7560,44005,OPTIMAL,38,0.0217543,0.0300915,0.0518459,46.03906,18.0,15.0,0.0,,516803.0,1706.0,1736.0,21064.0,,786.0,13105.0,,,459.0,0.0,15.0,,2863.0,26.0,,,443.0,1.0,,1.0,5955.0,
GEOM30b.col,30,81,27,1800,8051,OPTIMAL,26,0.00261975,0.00138566,0.00400541,45.55078,,5.0,0.0,,11944.0,35.0,39.0,144.0,,0.0,598.0,,,5.0,0.0,5.0,,291.0,,,,15.0,,,,32.0,
c21_3_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000722422,0.00392289,0.00464531,45.55078,22.0,0.0,0.0,,21211.0,578.0,580.0,5529.0,,23.0,662.0,5.0,,348.0,0.0,,,184.0,,,,121.0,,,,2797.0,
c21_8_d1.col,21,105,11,441,2946,OPTIMAL,9,0.00131956,0.00195388,0.00327344,45.61328,,5.0,0.0,,18065.0,236.0,248.0,1700.0,,65.0,392.0,7.0,,58.0,0.0,5.0,,328.0,,,,65.0,,,,454.0,
c21_1_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000719168,0.00294969,0.00366885,44.67578,22.0,0.0,0.0,,21211.0,578.0,580.0,5529.0,,23.0,662.0,5.0,,348.0,0.0,,,184.0,,,,121.0,,,,2797.0,
GEOM40a.col,40,146,50,5080,29545,OPTIMAL,37,0.00897564,0.0226368,0.0316124,45.55078,39.0,17.0,0.0,,422659.0,1909.0,1981.0,19629.0,,874.0,6174.0,105.0,,427.0,0.0,17.0,,8815.0,23.0,,,476.0,,,,4479.0,
GEOM40b.col,40,157,40,4000,23063,OPTIMAL,33,0.00745478,0.013304,0.0207588,45.55469,4.0,8.0,0.0,,272553.0,635.0,650.0,5782.0,,303.0,7698.0,8.0,,156.0,0.0,8.0,,2927.0,,,,200.0,,,,1470.0,
c21_2_d1.col,21,105,11,441,2946,OPTIMAL,9,0.00137676,0.00201681,0.00339357,45.55469,,5.0,0.0,,18065.0,236.0,248.0,1700.0,,65.0,392.0,7.0,,58.0,0.0,5.0,,328.0,,,,65.0,,,,454.0,
GEOM110a.col,110,1207,109,32340,392769,OPTIMAL,69,0.135827,457.319,457.454,174.52344,764909.0,78550.0,0.0,3739000.0,4104900000.0,17737700.0,18053700.0,691303000.0,16403.0,74725300.0,27091100.0,468.0,411073.0,5016910.0,0.0,1370020.0,66928.0,229880.0,12011100.0,8644.0,108161.0,2499250.0,333.0,317.0,92.0,201531000.0,80.0
GEOM120a.col,120,1434,109,35280,457851,OPTIMAL,82,0.162607,133.748,133.911,170.40234,190034.0,75553.0,0.0,2512900.0,1067470000.0,5518270.0,5629130.0,145829000.0,14425.0,11633400.0,7864380.0,132.0,331121.0,1710330.0,0.0,977629.0,4501.0,115038.0,3437010.0,4387.0,84271.0,772551.0,168.0,,47.0,40456800.0,39.0
c55_2_d2.col,55,362,8,825,4165,OPTIMAL,7,0.00178467,0.0043841,0.00616877,45.67969,15.0,9.0,0.0,,53422.0,940.0,978.0,14611.0,,183.0,1608.0,,,404.0,0.0,9.0,,298.0,,,,210.0,,,,6317.0,
GEOM20.col,20,20,24,1066,3443,OPTIMAL,21,0.00155085,0.00175703,0.00330788,45.42969,,2.0,0.0,,7090.0,19.0,21.0,88.0,,0.0,705.0,9.0,,1.0,0.0,2.0,,453.0,,,,4.0,,,,31.0,
