name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,minishrunken,decisions,lucky,weakened,subsumed,minimized,strengthened,vivified,fixed,reduced,substituted,chronological,rephased,stabilizing,eliminated,shrunken,walked
GEOM80b.col,80,663,98,4720,43838,OPTIMAL,60,0.599473,3.66356,4.26303,69.38281,5490.0,736.0,0.0,58.0,16163100.0,128705.0,131794.0,3153000.0,721202.0,276671.0,18.0,216.0,10895.0,0.0,15914.0,43.0,5139.0,57128.0,,22877.0,27.0,12.0,20.0,879841.0,3.0
GEOM50b.col,50,249,54,1700,10167,OPTIMAL,35,0.0693266,0.0476797,0.117006,55.53906,16.0,54.0,0.0,,243043.0,2924.0,3102.0,54397.0,10712.0,13780.0,9.0,,245.0,0.0,54.0,,1657.0,67.0,,768.0,1.0,1.0,,9541.0,
GEOM60a.col,60,339,61,2940,19552,OPTIMAL,50,0.0757815,0.241908,0.31769,59.05859,372.0,186.0,0.0,30.0,1157240.0,14821.0,15328.0,262282.0,43827.0,46107.0,2.0,200.0,1810.0,0.0,1274.0,9.0,1310.0,2607.0,,3004.0,6.0,3.0,17.0,81092.0,
GEOM70.col,70,267,44,2590,12470,OPTIMAL,38,0.0334371,0.0187714,0.0522085,45.47656,5.0,60.0,0.0,,76505.0,1114.0,1203.0,19705.0,2015.0,9314.0,3.0,,197.0,0.0,60.0,,891.0,,,230.0,,,,5801.0,
GEOM30b.col,30,81,27,750,2776,OPTIMAL,26,0.00269789,0.00127551,0.00397341,45.35156,,18.0,0.0,,2900.0,36.0,52.0,492.0,9.0,107.0,2.0,,3.0,0.0,18.0,,220.0,,,2.0,,,,109.0,
c21_3_d2.col,21,105,8,126,757,OPTIMAL,7,0.00105318,0.00193929,0.00299247,45.53906,12.0,62.0,0.0,,4048.0,314.0,343.0,1636.0,18.0,418.0,2.0,,64.0,0.0,62.0,,99.0,,,51.0,,,,315.0,
c21_8_d1.col,21,105,11,168,1009,OPTIMAL,9,0.00184783,0.00222586,0.00407369,45.96484,,9.0,0.0,,5827.0,210.0,224.0,1863.0,110.0,245.0,2.0,,46.0,0.0,9.0,,153.0,,,26.0,,,,296.0,
c21_1_d2.col,21,105,8,126,757,OPTIMAL,7,0.000948814,0.00224761,0.00319643,45.47656,12.0,62.0,0.0,,4048.0,314.0,343.0,1636.0,18.0,418.0,2.0,,64.0,0.0,62.0,,99.0,,,51.0,,,,315.0,
GEOM40a.col,40,146,50,1440,6697,OPTIMAL,37,0.0344402,0.0271148,0.061555,45.60156,14.0,83.0,0.0,,135655.0,2138.0,2294.0,37794.0,3938.0,14208.0,5.0,,310.0,0.0,83.0,,1019.0,,,393.0,,,,11809.0,
GEOM40b.col,40,157,40,1280,6305,OPTIMAL,33,0.0183621,0.0105745,0.0289366,45.47656,3.0,32.0,0.0,,44998.0,643.0,703.0,7575.0,760.0,4665.0,3.0,,121.0,0.0,32.0,,736.0,,,180.0,,,,2432.0,
c21_2_d1.col,21,105,11,168,1009,OPTIMAL,9,0.00163312,0.00192764,0.00356076,45.47656,,9.0,0.0,,5827.0,210.0,224.0,1863.0,110.0,245.0,2.0,,46.0,0.0,9.0,,153.0,,,26.0,,,,296.0,
GEOM110a.col,110,1207,109,7480,89557,OPTIMAL,69,1.39672,110.445,111.842,118.5,108884.0,7934.0,0.0,1480.0,413354000.0,2246180.0,2289660.0,78660300.0,17655000.0,4505200.0,15.0,754.0,132704.0,0.0,178887.0,1109.0,6938.0,1613200.0,26.0,394926.0,159.0,36.0,36.0,19427300.0,39.0
GEOM120a.col,120,1434,109,9720,125875,OPTIMAL,82,1.20128,86.1184,87.3197,115.29297,59952.0,5766.0,0.0,223.0,210757000.0,1472540.0,1495870.0,47122900.0,10647500.0,2628190.0,4.0,362.0,144129.0,0.0,164875.0,562.0,5470.0,1018400.0,57.0,214917.0,102.0,25.0,14.0,12569600.0,24.0
c55_2_d2.col,55,362,8,330,2503,OPTIMAL,7,0.00329663,0.00416877,0.00746541,45.60938,8.0,102.0,0.0,,9192.0,496.0,560.0,2669.0,20.0,823.0,,,101.0,0.0,101.0,,199.0,,,145.0,,,,347.0,
GEOM20.col,20,20,24,400,801,OPTIMAL,21,0.00193015,0.00186765,0.0037978,45.48438,,10.0,0.0,,1832.0,22.0,33.0,134.0,9.0,515.0,3.0,,2.0,0.0,10.0,,217.0,,,9.0,,,,18.0,
