name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,restored,minishrunken,decisions,lucky,subsumed,minimized,vivified,strengthened,weakened,fixed,reduced,substituted,eliminated,chronological,rephased,reactivated,stabilizing,shrunken,walked
GEOM80a.col,80,612,79,31584,215071,OPTIMAL,63,0.0689479,6.02276,6.09171,100.26562,5434.0,2274.0,0.0,158776.0,62273200.0,204566.0,208564.0,4709640.0,8496.0,423044.0,323516.0,,106902.0,0.0,525.0,152952.0,207412.0,46639.0,78729.0,1953.0,60438.0,26722.0,27.0,,12.0,1464250.0,3.0
GEOM30a.col,30,81,32,3577,16233,OPTIMAL,27,0.00557837,0.00463456,0.0102129,45.97656,23.0,2.0,0.0,,101679.0,114.0,121.0,539.0,,0.0,2216.0,20.0,2.0,0.0,,2.0,,2283.0,,,,82.0,,,,73.0,
GEOM80b.col,80,663,98,40657,281939,OPTIMAL,60,0.0932807,5.97936,6.07264,109.875,7902.0,2454.0,0.0,179421.0,121027000.0,228931.0,233474.0,4845500.0,2258.0,367119.0,842555.0,298.0,116290.0,0.0,408.0,222962.0,262282.0,291995.0,93765.0,2792.0,81983.0,35971.0,37.0,75.0,27.0,1609600.0,4.0
GEOM50b.col,50,249,54,12618,69053,OPTIMAL,35,0.0247412,0.113021,0.137763,65.92969,581.0,29.0,0.0,,7335810.0,3957.0,4060.0,40308.0,,1620.0,80106.0,78.0,357.0,0.0,,29.0,,44416.0,99.0,,,1815.0,1.0,,1.0,10965.0,
GEOM60a.col,60,339,61,16785,100776,OPTIMAL,50,0.033353,0.642833,0.676186,76.0625,487.0,493.0,0.0,14154.0,9427630.0,21114.0,21683.0,306414.0,,21124.0,47890.0,25.0,10366.0,0.0,25.0,19353.0,34408.0,14800.0,3443.0,932.0,10188.0,3827.0,7.0,,4.0,76552.0,
GEOM70.col,70,267,44,13386,67309,OPTIMAL,38,0.0211111,0.0454099,0.066521,45.55078,56.0,28.0,0.0,,1096170.0,1612.0,1659.0,13738.0,,413.0,14442.0,,401.0,0.0,,27.0,,3628.0,9.0,,,483.0,1.0,,1.0,4147.0,
GEOM30b.col,30,81,27,3201,13655,OPTIMAL,26,0.00580319,0.00382775,0.00963095,45.98047,,2.0,0.0,,30295.0,62.0,66.0,230.0,,0.0,577.0,,3.0,0.0,,2.0,,569.0,,,,33.0,,,,15.0,
c21_3_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000495613,0.00273732,0.00323293,45.98047,22.0,0.0,0.0,,21211.0,578.0,580.0,5529.0,,23.0,662.0,5.0,348.0,0.0,,,,184.0,,,,121.0,,,,2797.0,
c21_8_d1.col,21,105,11,462,3030,OPTIMAL,9,0.000842484,0.00211796,0.00296045,45.49219,,3.0,0.0,,18011.0,230.0,238.0,1665.0,,91.0,276.0,7.0,42.0,0.0,,3.0,,378.0,,,,59.0,,,,516.0,
c21_1_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000445912,0.00270257,0.00314849,45.91797,22.0,0.0,0.0,,21211.0,578.0,580.0,5529.0,,23.0,662.0,5.0,348.0,0.0,,,,184.0,,,,121.0,,,,2797.0,
GEOM40a.col,40,146,50,8208,42057,OPTIMAL,37,0.0116793,0.0332454,0.0449247,45.55469,66.0,31.0,0.0,,652591.0,2255.0,2319.0,25142.0,,1523.0,5329.0,105.0,570.0,0.0,,31.0,,13747.0,3.0,,,439.0,,,,7563.0,
GEOM40b.col,40,157,40,6772,34151,OPTIMAL,33,0.0125201,0.021609,0.0341291,45.55469,16.0,28.0,0.0,,617941.0,1041.0,1086.0,8458.0,,419.0,10829.0,,150.0,0.0,,27.0,,4827.0,,,,380.0,,,,1358.0,
c21_2_d1.col,21,105,11,462,3030,OPTIMAL,9,0.000875415,0.00215553,0.00303095,45.55859,,3.0,0.0,,18011.0,230.0,238.0,1665.0,,91.0,276.0,7.0,42.0,0.0,,3.0,,378.0,,,,59.0,,,,516.0,
GEOM110a.col,110,1207,109,64641,521973,OPTIMAL,69,0.160432,218.068,218.228,174.30859,217540.0,32313.0,0.0,3295850.0,2013030000.0,9182580.0,9327710.0,326287000.0,34913.0,38499300.0,11929100.0,468.0,2593630.0,0.0,20177.0,1264670.0,936686.0,452722.0,6235330.0,16985.0,278267.0,1168340.0,257.0,553.0,86.0,98522600.0,58.0
GEOM120a.col,120,1434,109,71390,602291,OPTIMAL,82,0.191893,415.371,415.563,210.51953,375969.0,102484.0,0.0,3335160.0,2100820000.0,11163700.0,11347600.0,332221000.0,17199.0,24536400.0,13773700.0,132.0,4277180.0,0.0,26204.0,1554110.0,886681.0,225949.0,6223000.0,15366.0,266277.0,1444600.0,234.0,547.0,67.0,104745000.0,52.0
c55_2_d2.col,55,362,8,825,4165,OPTIMAL,7,0.00152954,0.0044709,0.00600045,45.55859,15.0,9.0,0.0,,53422.0,940.0,978.0,14611.0,,183.0,1608.0,,404.0,0.0,,9.0,,298.0,,,,210.0,,,,6317.0,
GEOM20.col,20,20,24,1341,4543,OPTIMAL,21,0.00184996,0.00220932,0.00405929,45.49609,,1.0,0.0,,19994.0,35.0,36.0,124.0,,0.0,1104.0,5.0,1.0,0.0,,1.0,,468.0,,,,19.0,,,,48.0,
