name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,restored,minishrunken,decisions,lucky,weakened,subsumed,minimized,strengthened,vivified,fixed,reduced,substituted,chronological,rephased,reactivated,stabilizing,eliminated,shrunken,walked
c21_7_d2.col,21,105,8,168,1050,OPTIMAL,7,0.000435615,0.00221731,0.00265293,45.47266,10.0,98.0,0.0,,5480.0,340.0,395.0,1643.0,,19.0,538.0,3.0,,57.0,0.0,95.0,,152.0,,,84.0,,,,,146.0,
GEOM70a.col,70,459,72,5040,38928,OPTIMAL,61,0.0145905,1.56564,1.58023,64.66406,4654.0,581.0,0.0,43.0,9490690.0,85612.0,87836.0,1818640.0,74.0,360733.0,354036.0,,352.0,7691.0,0.0,10674.0,23.0,6743.0,35964.0,5.0,15470.0,18.0,6.0,10.0,24.0,486277.0,
c21_4_d1.col,21,105,11,231,1449,OPTIMAL,9,0.000662513,0.00408709,0.00474961,45.47266,,5.0,0.0,,11684.0,366.0,376.0,3829.0,,406.0,567.0,4.0,,82.0,0.0,5.0,,257.0,,,66.0,,,,,643.0,
GEOM110b.col,110,1256,121,13310,170236,OPTIMAL,77,0.0505769,244.304,244.355,144.96094,159502.0,9099.0,0.0,1205.0,581189000.0,3067520.0,3113200.0,122854000.0,78.0,28780100.0,7230500.0,520.0,555.0,305579.0,0.0,337371.0,1098.0,119578.0,2209560.0,22.0,415598.0,144.0,15.0,78.0,61.0,36816800.0,24.0
GEOM80a.col,80,612,79,6320,56028,OPTIMAL,63,0.0193658,3.95994,3.97931,70.34375,8111.0,956.0,0.0,101.0,20989700.0,165915.0,170039.0,4085100.0,95.0,831175.0,616154.0,30.0,427.0,14696.0,0.0,20680.0,69.0,14306.0,79449.0,11.0,29305.0,26.0,6.0,17.0,24.0,1103550.0,2.0
GEOM30a.col,30,81,32,960,3732,OPTIMAL,27,0.00122024,0.00265707,0.0038773,45.47266,,14.0,0.0,,25808.0,376.0,397.0,5646.0,,588.0,5468.0,16.0,,40.0,0.0,14.0,,916.0,,,123.0,,,,,623.0,
GEOM80b.col,80,663,98,7840,75934,OPTIMAL,60,0.0220425,2.53434,2.55639,69.42969,5017.0,538.0,0.0,141.0,15533200.0,105263.0,107690.0,2828340.0,24.0,639488.0,643866.0,567.0,140.0,9418.0,0.0,15700.0,43.0,66024.0,49219.0,,18582.0,21.0,3.0,14.0,14.0,842933.0,1.0
GEOM50b.col,50,249,54,2700,17146,OPTIMAL,35,0.00478836,0.0549301,0.0597184,45.96484,20.0,35.0,0.0,,447081.0,4324.0,4588.0,82545.0,,17803.0,41323.0,174.0,,361.0,0.0,34.0,,11921.0,326.0,,1162.0,2.0,,1.0,,20726.0,
GEOM60a.col,60,339,61,3660,25059,OPTIMAL,50,0.00895866,0.224434,0.233392,59.05078,989.0,196.0,0.0,8.0,1627720.0,16387.0,17135.0,274629.0,,51474.0,121368.0,36.0,198.0,1641.0,0.0,1284.0,4.0,5860.0,3119.0,,3566.0,5.0,,4.0,16.0,77800.0,
GEOM70.col,70,267,44,3080,15318,OPTIMAL,38,0.00440212,0.0155447,0.0199468,45.53906,3.0,61.0,0.0,,115642.0,1405.0,1510.0,22369.0,,2420.0,19600.0,21.0,,157.0,0.0,61.0,,2667.0,61.0,,317.0,,,,,5416.0,
GEOM30b.col,30,81,27,810,3057,OPTIMAL,26,0.00141682,0.0020613,0.00347812,45.66406,,15.0,0.0,,2852.0,40.0,54.0,508.0,,9.0,109.0,5.0,,6.0,0.0,15.0,,269.0,,,2.0,,,,,89.0,
c21_3_d2.col,21,105,8,168,1050,OPTIMAL,7,0.000450994,0.00282848,0.00327948,45.53906,10.0,98.0,0.0,,5480.0,340.0,395.0,1643.0,,19.0,538.0,3.0,,57.0,0.0,95.0,,152.0,,,84.0,,,,,146.0,
c21_8_d1.col,21,105,11,231,1449,OPTIMAL,9,0.000646486,0.00409604,0.00474252,45.96484,,5.0,0.0,,11684.0,366.0,376.0,3829.0,,406.0,567.0,4.0,,82.0,0.0,5.0,,257.0,,,66.0,,,,,643.0,
c21_1_d2.col,21,105,8,168,1050,OPTIMAL,7,0.000450767,0.00250998,0.00296075,45.53906,10.0,98.0,0.0,,5480.0,340.0,395.0,1643.0,,19.0,538.0,3.0,,57.0,0.0,95.0,,152.0,,,84.0,,,,,146.0,
GEOM40a.col,40,146,50,2000,9860,OPTIMAL,37,0.00273346,0.0173524,0.0200859,45.48047,36.0,60.0,0.0,,256013.0,2947.0,3120.0,42756.0,,6532.0,48946.0,65.0,,388.0,0.0,60.0,,5020.0,42.0,,592.0,2.0,,2.0,,13442.0,
GEOM40b.col,40,157,40,1600,8200,OPTIMAL,33,0.00292333,0.0138814,0.0168048,45.54297,16.0,40.0,0.0,,134816.0,1845.0,1941.0,28067.0,,4445.0,11091.0,29.0,,292.0,0.0,40.0,,1974.0,23.0,,407.0,,,,,9499.0,
c21_2_d1.col,21,105,11,231,1449,OPTIMAL,9,0.000655085,0.00396214,0.00461723,46.15625,,5.0,0.0,,11684.0,366.0,376.0,3829.0,,406.0,567.0,4.0,,82.0,0.0,5.0,,257.0,,,66.0,,,,,643.0,
GEOM110a.col,110,1207,109,11990,148063,OPTIMAL,69,0.0446522,193.357,193.402,165.82812,265457.0,14172.0,0.0,4870.0,1001490000.0,5080350.0,5171370.0,201866000.0,925.0,44306300.0,10243300.0,525.0,1800.0,304359.0,0.0,560497.0,1843.0,99869.0,3902290.0,64.0,835137.0,223.0,50.0,141.0,101.0,47697000.0,30.0
GEOM120a.col,120,1434,109,13080,172746,OPTIMAL,82,0.0515844,155.218,155.27,139.07031,125793.0,9961.0,0.0,634.0,375988000.0,2651720.0,2694440.0,91677200.0,55.0,20415400.0,5725400.0,110.0,371.0,210120.0,0.0,295848.0,781.0,52690.0,1931170.0,4.0,400624.0,144.0,3.0,85.0,21.0,24691000.0,19.0
c55_2_d2.col,55,362,8,440,3446,OPTIMAL,7,0.00142155,0.00607671,0.00749826,45.54297,,188.0,0.0,,35740.0,1456.0,1561.0,15822.0,,701.0,2029.0,,,125.0,0.0,187.0,,356.0,12.0,,309.0,,,,,1037.0,
GEOM20.col,20,20,24,480,1040,OPTIMAL,21,0.000509358,0.00168057,0.00218993,45.60938,,7.0,0.0,,3848.0,27.0,40.0,220.0,,1.0,1730.0,9.0,,12.0,0.0,7.0,,369.0,,,9.0,,,,,28.0,
