name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,weakened,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,minishrunken,decisions,lucky,subsumed,strengthened,minimized,vivified,fixed,reduced,chronological,rephased,stabilizing,eliminated,shrunken,walked
GEOM110b.col,110,1256,121,84304,518845,OPTIMAL,77,6.94675,697.07,704.017,223.13672,344326.0,1701500.0,83368.0,0.0,1297120.0,3671460000.0,12940800.0,13132200.0,444315000.0,44812700.0,14770900.0,4.0,4981730.0,1407620.0,0.0,33704.0,1027.0,7542010.0,1350450.0,231.0,25.0,550464.0,136873000.0,68.0
GEOM80a.col,80,612,79,36870,213431,OPTIMAL,63,0.953667,10.1932,11.1469,116.30859,5777.0,200046.0,2049.0,0.0,200971.0,77935500.0,305309.0,309182.0,6932860.0,796619.0,359522.0,3.0,126887.0,116926.0,0.0,717.0,613.0,164201.0,31496.0,31.0,8.0,64468.0,1862290.0,6.0
GEOM30a.col,30,81,32,3202,13889,OPTIMAL,27,0.0235869,0.00914214,0.0327291,45.53516,3.0,,21.0,0.0,,103581.0,328.0,353.0,3048.0,258.0,564.0,5.0,25.0,21.0,0.0,,448.0,,89.0,,,,345.0,
GEOM80b.col,80,663,98,38354,220496,OPTIMAL,60,2.5856,8.68864,11.2742,127.16406,6575.0,317044.0,2414.0,0.0,145939.0,79899400.0,189188.0,193010.0,3744120.0,277737.0,254023.0,2.0,124894.0,197529.0,0.0,400.0,793.0,68009.0,27254.0,30.0,11.0,102168.0,1085100.0,6.0
GEOM50b.col,50,249,54,10258,51202,OPTIMAL,35,0.293178,0.22505,0.518228,68.33203,111.0,,102.0,0.0,,3212550.0,4941.0,5100.0,62341.0,5105.0,10180.0,2.0,732.0,100.0,0.0,,1613.0,369.0,1274.0,2.0,1.0,,13914.0,
GEOM60a.col,60,339,61,17506,95565,OPTIMAL,50,0.308819,0.697389,1.00621,82.83984,479.0,44268.0,623.0,0.0,7204.0,7464420.0,20464.0,21039.0,307675.0,21415.0,40713.0,1.0,10379.0,16716.0,0.0,1.0,382.0,4056.0,3397.0,6.0,3.0,13808.0,72009.0,
GEOM70.col,70,267,44,13054,62331,OPTIMAL,38,0.115164,0.0536398,0.168804,64.41016,89.0,,20.0,0.0,,507928.0,1582.0,1622.0,15203.0,580.0,4077.0,,519.0,20.0,0.0,,902.0,12.0,339.0,1.0,1.0,,5298.0,
GEOM30b.col,30,81,27,3326,14096,OPTIMAL,26,0.0112708,0.00295049,0.0142213,45.53906,,,2.0,0.0,,6066.0,25.0,28.0,80.0,0.0,95.0,1.0,,2.0,0.0,,200.0,,15.0,,,,13.0,
c21_3_d2.col,21,105,8,231,945,OPTIMAL,7,0.00144425,0.00409156,0.0055358,45.53906,64.0,,8.0,0.0,,30797.0,880.0,891.0,9335.0,123.0,1082.0,1.0,518.0,8.0,0.0,,92.0,,144.0,,,,4514.0,
c21_8_d1.col,21,105,11,555,2874,OPTIMAL,9,0.00309132,0.00343679,0.00652811,45.53906,6.0,,5.0,0.0,,31911.0,331.0,339.0,2493.0,180.0,382.0,2.0,70.0,5.0,0.0,,21.0,,56.0,,,,637.0,
c21_1_d2.col,21,105,8,231,945,OPTIMAL,7,0.00134901,0.00419778,0.0055468,45.54297,64.0,,8.0,0.0,,30797.0,880.0,891.0,9335.0,123.0,1082.0,1.0,518.0,8.0,0.0,,92.0,,144.0,,,,4514.0,
GEOM40a.col,40,146,50,7076,33504,OPTIMAL,37,0.124748,0.0307453,0.155494,61.00391,20.0,,27.0,0.0,,287701.0,942.0,971.0,7743.0,377.0,1647.0,10.0,224.0,27.0,0.0,,865.0,,212.0,,,,2177.0,
GEOM40b.col,40,157,40,6660,31642,OPTIMAL,33,0.0676536,0.0418088,0.109462,59.25,28.0,,30.0,0.0,,516207.0,1145.0,1192.0,9836.0,517.0,3200.0,,207.0,30.0,0.0,,1231.0,,311.0,,,,2087.0,
c21_2_d1.col,21,105,11,555,2874,OPTIMAL,9,0.00349041,0.00318388,0.00667429,45.54297,6.0,,5.0,0.0,,31911.0,331.0,339.0,2493.0,180.0,382.0,2.0,70.0,5.0,0.0,,21.0,,56.0,,,,637.0,
GEOM110a.col,110,1207,109,70730,439858,OPTIMAL,69,5.35133,231.827,237.178,191.32422,172579.0,1429970.0,29964.0,0.0,1786860.0,1343760000.0,5582260.0,5675640.0,182016000.0,18138000.0,7281200.0,13.0,1924980.0,1011110.0,0.0,10676.0,805.0,3553740.0,734978.0,198.0,29.0,461443.0,55256600.0,55.0
GEOM120a.col,120,1434,109,101264,630475,OPTIMAL,82,4.70945,1053.17,1057.88,270.38672,827209.0,1686110.0,193623.0,0.0,1793160.0,4659250000.0,26935500.0,27359200.0,818368000.0,60686600.0,31390300.0,5.0,10982200.0,1747180.0,0.0,39187.0,831.0,15413300.0,3414820.0,327.0,27.0,542084.0,265300000.0,99.0
c55_2_d2.col,55,362,8,605,2997,OPTIMAL,7,0.00354605,0.00403165,0.0075777,45.48438,52.0,,5.0,0.0,,30993.0,852.0,859.0,9211.0,32.0,1115.0,,565.0,5.0,0.0,,110.0,,173.0,,,,5033.0,
GEOM20.col,20,20,24,1152,3733,OPTIMAL,21,0.00525044,0.00173096,0.0069814,45.60938,,,2.0,0.0,,5538.0,30.0,33.0,138.0,4.0,158.0,3.0,3.0,2.0,0.0,,176.0,,10.0,,,,33.0,
