name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,restored,minishrunken,decisions,lucky,weakened,subsumed,minimized,strengthened,vivified,fixed,reduced,substituted,chronological,rephased,reactivated,stabilizing,eliminated,shrunken,walked
c21_7_d2.col,21,105,8,168,1051,OPTIMAL,7,0.000427063,0.00290719,0.00333425,45.27734,35.0,72.0,0.0,,5436.0,395.0,433.0,2115.0,,19.0,587.0,5.0,,67.0,0.0,70.0,,182.0,,,83.0,,,,,370.0,
GEOM70a.col,70,459,72,5040,38929,OPTIMAL,61,0.0115824,1.26802,1.2796,62.53516,6403.0,587.0,0.0,42.0,10763000.0,92734.0,94973.0,1837690.0,33.0,342394.0,379486.0,,192.0,10623.0,0.0,11231.0,50.0,7136.0,34149.0,2.0,17642.0,19.0,3.0,11.0,14.0,532614.0,
c21_4_d1.col,21,105,11,231,1450,OPTIMAL,9,0.000429136,0.00194806,0.00237719,45.53125,,4.0,0.0,,6037.0,202.0,205.0,1795.0,,110.0,248.0,7.0,,56.0,0.0,4.0,,314.0,,,14.0,,,,,425.0,
GEOM110b.col,110,1256,121,13310,170237,OPTIMAL,77,0.049579,310.52,310.57,157.06641,222149.0,19431.0,0.0,1048.0,900480000.0,4688870.0,4753120.0,212112000.0,70.0,51951600.0,9424820.0,583.0,506.0,430884.0,0.0,337770.0,2200.0,121473.0,3578440.0,31.0,596621.0,174.0,13.0,81.0,41.0,62910300.0,32.0
GEOM80a.col,80,612,79,6320,56029,OPTIMAL,63,0.0166771,2.41741,2.43408,69.11328,3987.0,574.0,0.0,62.0,13228400.0,102556.0,104979.0,2338240.0,29.0,514110.0,526988.0,30.0,239.0,9265.0,0.0,9727.0,40.0,14620.0,39712.0,4.0,18712.0,17.0,2.0,11.0,14.0,600687.0,2.0
GEOM30a.col,30,81,32,960,3733,OPTIMAL,27,0.00153543,0.00796884,0.00950427,45.46875,6.0,17.0,0.0,,59378.0,1128.0,1178.0,16373.0,,2622.0,3481.0,22.0,,135.0,0.0,17.0,,1046.0,,,217.0,,,,,3626.0,
GEOM80b.col,80,663,98,7840,75935,OPTIMAL,60,0.0219099,3.38383,3.40574,71.5,8661.0,904.0,0.0,219.0,26261700.0,189477.0,194708.0,4973580.0,175.0,1116520.0,791240.0,588.0,463.0,14904.0,0.0,26810.0,118.0,67169.0,93628.0,1.0,35546.0,35.0,17.0,22.0,44.0,1400340.0,
GEOM50b.col,50,249,54,2700,17147,OPTIMAL,35,0.00524725,0.0743627,0.0796099,46.01953,78.0,120.0,0.0,,605265.0,7290.0,7688.0,145231.0,,28220.0,32344.0,191.0,,577.0,0.0,120.0,,12635.0,739.0,,1914.0,2.0,,1.0,,31764.0,
GEOM60a.col,60,339,61,3660,25060,OPTIMAL,50,0.0107227,0.210618,0.221341,58.47266,576.0,204.0,0.0,7.0,1371050.0,14699.0,15292.0,265000.0,,44998.0,111372.0,25.0,198.0,1850.0,0.0,1388.0,3.0,6047.0,2818.0,,3016.0,4.0,,2.0,16.0,81019.0,
GEOM70.col,70,267,44,3080,15319,OPTIMAL,38,0.00438245,0.0154802,0.0198626,45.53125,6.0,62.0,0.0,,106552.0,1200.0,1338.0,20744.0,,2493.0,19001.0,21.0,,141.0,0.0,62.0,,2849.0,41.0,,275.0,,,,,4863.0,
