name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,subsumed,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,minishrunken,decisions,lucky,vivified,minimized,strengthened,weakened,fixed,reduced,substituted,chronological,rephased,stabilizing,eliminated,shrunken,walked
GEOM80a.col,80,612,79,12652,115919,OPTIMAL,63,0.911619,9.4586,10.3702,87.75391,85618.0,5338.0,2810.0,0.0,168499.0,55261600.0,234968.0,239217.0,5580870.0,602890.0,289213.0,3.0,69.0,0.0,73977.0,54725.0,594.0,115798.0,,26785.0,27.0,8.0,15246.0,1494010.0,6.0
GEOM30a.col,30,81,32,1792,8299,OPTIMAL,27,0.0223231,0.00439946,0.0267225,45.60156,9.0,,8.0,0.0,,30828.0,180.0,192.0,1479.0,81.0,493.0,5.0,,0.0,8.0,,377.0,,,51.0,,,,251.0,
GEOM80b.col,80,663,98,12166,115041,OPTIMAL,60,2.68294,7.12395,9.80689,92.56641,71181.0,4426.0,1989.0,0.0,117465.0,41572600.0,155335.0,158473.0,3171970.0,251120.0,202595.0,14.0,45.0,0.0,82311.0,52108.0,524.0,55640.0,,20799.0,23.0,7.0,14609.0,993667.0,4.0
GEOM50b.col,50,249,54,4103,26494,OPTIMAL,35,0.257456,0.0935797,0.351036,59.71484,381.0,36.0,50.0,0.0,,885819.0,3349.0,3470.0,51213.0,5187.0,9084.0,5.0,,0.0,49.0,,1755.0,66.0,,965.0,1.0,1.0,,7585.0,
GEOM60a.col,60,339,61,7521,54918,OPTIMAL,50,0.286573,0.586143,0.872715,68.88672,6661.0,275.0,355.0,0.0,9.0,4771000.0,16381.0,16816.0,259958.0,16604.0,27812.0,1.0,12.0,0.0,12262.0,17243.0,264.0,1879.0,2.0,2614.0,4.0,2.0,4566.0,51401.0,
GEOM70.col,70,267,44,6537,36432,OPTIMAL,38,0.119853,0.0428298,0.162683,60.08203,414.0,31.0,29.0,0.0,,333939.0,1740.0,1790.0,20331.0,1101.0,6462.0,,,0.0,28.0,,471.0,16.0,,428.0,1.0,1.0,,4625.0,
GEOM30b.col,30,81,27,1726,7779,OPTIMAL,26,0.010874,0.0017618,0.0126358,46.03125,3.0,,2.0,0.0,,3957.0,23.0,25.0,134.0,0.0,173.0,1.0,,0.0,2.0,,129.0,,,5.0,,,,26.0,
c21_3_d2.col,21,105,8,231,945,OPTIMAL,7,0.00192145,0.00630621,0.00822766,46.09375,518.0,64.0,8.0,0.0,,30797.0,880.0,891.0,9335.0,123.0,1082.0,1.0,,0.0,8.0,,92.0,,,144.0,,,,4514.0,
c21_8_d1.col,21,105,11,315,1914,OPTIMAL,9,0.0044922,0.00389136,0.00838356,46.03125,100.0,,4.0,0.0,,19191.0,294.0,309.0,2142.0,77.0,382.0,2.0,,0.0,4.0,,145.0,,,56.0,,,,771.0,
c21_1_d2.col,21,105,8,231,945,OPTIMAL,7,0.00196825,0.00642818,0.00839643,46.09375,518.0,64.0,8.0,0.0,,30797.0,880.0,891.0,9335.0,123.0,1082.0,1.0,,0.0,8.0,,92.0,,,144.0,,,,4514.0,
GEOM40a.col,40,146,50,3428,18960,OPTIMAL,37,0.122865,0.0414423,0.164307,56.97266,582.0,11.0,52.0,0.0,,361447.0,2154.0,2228.0,23595.0,1341.0,3729.0,10.0,,0.0,51.0,,577.0,7.0,,428.0,1.0,1.0,,6423.0,
GEOM40b.col,40,157,40,3077,17306,OPTIMAL,33,0.0600249,0.0156259,0.0756508,46.09375,99.0,5.0,12.0,0.0,,137502.0,602.0,623.0,6466.0,218.0,2285.0,2.0,,0.0,12.0,,322.0,,,192.0,,,,1368.0,
c21_2_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00293019,0.0025621,0.00549229,46.03125,100.0,,4.0,0.0,,19191.0,294.0,309.0,2142.0,77.0,382.0,2.0,,0.0,4.0,,145.0,,,56.0,,,,771.0,
GEOM110a.col,110,1207,109,19468,234301,OPTIMAL,69,4.87723,257.285,262.163,154.94531,1747200.0,173934.0,28479.0,0.0,2109290.0,1285230000.0,5683470.0,5779560.0,185054000.0,20199800.0,7555640.0,13.0,5904.0,0.0,766554.0,309044.0,930.0,3497030.0,9.0,767596.0,206.0,31.0,84609.0,56681300.0,57.0
GEOM120a.col,120,1434,109,25216,325837,OPTIMAL,82,4.8276,1003.06,1007.89,199.86328,8162780.0,558660.0,150113.0,0.0,2807790.0,3792450000.0,21286700.0,21588400.0,691826000.0,57918800.0,24283900.0,5.0,35793.0,0.0,1365610.0,299527.0,760.0,12344500.0,7.0,2381390.0,280.0,29.0,80548.0,202493000.0,83.0
c55_2_d2.col,55,362,8,605,2997,OPTIMAL,7,0.00424241,0.00430029,0.0085427,45.60938,565.0,52.0,5.0,0.0,,30993.0,852.0,859.0,9211.0,32.0,1115.0,,,0.0,5.0,,110.0,,,173.0,,,,5033.0,
GEOM20.col,20,20,24,890,2843,OPTIMAL,21,0.00453702,0.00137759,0.00591461,45.48438,6.0,,1.0,0.0,,4447.0,25.0,28.0,133.0,0.0,322.0,2.0,,0.0,1.0,,163.0,,,6.0,,,,41.0,
