name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,minishrunken,decisions,lucky,subsumed,minimized,vivified,strengthened,weakened,fixed,reduced,chronological,rephased,stabilizing,eliminated,shrunken,walked,substituted
GEOM70.col,70,267,44,12413,59936,OPTIMAL,38,0.119642,0.0580507,0.177692,64.13672,112.0,49.0,0.0,,537995.0,1830.0,1911.0,17091.0,583.0,4265.0,,551.0,0.0,,47.0,,883.0,3.0,406.0,1.0,1.0,,5461.0,,
GEOM30b.col,30,81,27,3110,13315,OPTIMAL,26,0.0120983,0.00267246,0.0147708,45.61328,,2.0,0.0,,5605.0,19.0,22.0,58.0,0.0,89.0,1.0,,0.0,,2.0,,200.0,,10.0,,,,12.0,,
c21_3_d2.col,21,105,8,231,945,OPTIMAL,7,0.0013223,0.00404144,0.00536374,45.55078,64.0,8.0,0.0,,30797.0,880.0,891.0,9335.0,123.0,1082.0,1.0,518.0,0.0,,8.0,,92.0,,144.0,,,,4514.0,,
c21_8_d1.col,21,105,11,555,2874,OPTIMAL,9,0.00455894,0.00448182,0.00904076,45.55078,6.0,5.0,0.0,,31911.0,331.0,339.0,2493.0,180.0,382.0,2.0,70.0,0.0,,5.0,,21.0,,56.0,,,,637.0,,
c21_1_d2.col,21,105,8,231,945,OPTIMAL,7,0.00110301,0.00391046,0.00501347,45.55078,64.0,8.0,0.0,,30797.0,880.0,891.0,9335.0,123.0,1082.0,1.0,518.0,0.0,,8.0,,92.0,,144.0,,,,4514.0,,
GEOM40a.col,40,146,50,6901,32852,OPTIMAL,37,0.126399,0.0296941,0.156093,59.4375,20.0,24.0,0.0,,275102.0,896.0,924.0,7322.0,365.0,1555.0,10.0,217.0,0.0,,24.0,,864.0,,201.0,,,,2098.0,,
GEOM40b.col,40,157,40,6384,30534,OPTIMAL,33,0.0662098,0.0366521,0.102862,58.76172,23.0,22.0,0.0,,455775.0,1042.0,1072.0,9140.0,422.0,2550.0,,181.0,0.0,,22.0,,1344.0,,287.0,,,,2078.0,,
c21_2_d1.col,21,105,11,555,2874,OPTIMAL,9,0.00446242,0.00457045,0.00903287,45.55469,6.0,5.0,0.0,,31911.0,331.0,339.0,2493.0,180.0,382.0,2.0,70.0,0.0,,5.0,,21.0,,56.0,,,,637.0,,
GEOM110a.col,110,1207,109,70341,437793,OPTIMAL,69,5.21166,204.659,209.87,195.44922,162898.0,26967.0,0.0,1821970.0,1232330000.0,5267030.0,5353870.0,169559000.0,16244800.0,6784430.0,13.0,1996730.0,0.0,10934.0,1302670.0,1646950.0,710.0,3209560.0,673785.0,199.0,30.0,530521.0,53372900.0,55.0,
GEOM120a.col,120,1434,109,100673,627665,OPTIMAL,82,4.57849,808.198,812.776,256.16016,494552.0,139751.0,0.0,956755.0,3551070000.0,20494100.0,20789400.0,632855000.0,54553900.0,23223300.0,5.0,7960290.0,0.0,30603.0,1777870.0,1956980.0,923.0,12089100.0,2328040.0,252.0,24.0,629925.0,184214000.0,74.0,3.0
c55_2_d2.col,55,362,8,605,2997,OPTIMAL,7,0.00374856,0.00408579,0.00783436,45.80859,52.0,5.0,0.0,,30993.0,852.0,859.0,9211.0,32.0,1115.0,,565.0,0.0,,5.0,,110.0,,173.0,,,,5033.0,,
GEOM20.col,20,20,24,1028,3395,OPTIMAL,21,0.00465315,0.00155893,0.00621208,45.68359,,2.0,0.0,,5150.0,30.0,33.0,139.0,4.0,142.0,3.0,3.0,0.0,,2.0,,171.0,,9.0,,,,34.0,,
