name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,restored,minishrunken,decisions,lucky,subsumed,minimized,vivified,strengthened,weakened,fixed,reduced,substituted,eliminated,chronological,rephased,reactivated,stabilizing,shrunken,walked
GEOM70.col,70,267,44,6160,24489,OPTIMAL,38,0.00630339,0.0190512,0.0253546,45.94922,19.0,7.0,0.0,,225731.0,1355.0,1469.0,17392.0,,1730.0,3002.0,21.0,212.0,0.0,,7.0,,5034.0,10.0,,,409.0,,,,5854.0,
GEOM30b.col,30,81,27,1620,5458,OPTIMAL,26,0.00144647,0.00137213,0.00281859,45.46094,,4.0,0.0,,3790.0,35.0,37.0,181.0,,0.0,38.0,5.0,6.0,0.0,,4.0,,521.0,,,,4.0,,,,33.0,
c21_3_d2.col,21,105,8,336,1534,OPTIMAL,7,0.000638065,0.00150606,0.00214413,45.52344,2.0,48.0,0.0,,8831.0,260.0,286.0,1139.0,,5.0,323.0,5.0,47.0,0.0,,47.0,,279.0,,,,46.0,,,,186.0,
c21_8_d1.col,21,105,11,462,2122,OPTIMAL,9,0.000817694,0.00212825,0.00294595,46.01172,,7.0,0.0,,12750.0,189.0,197.0,1264.0,,32.0,220.0,7.0,38.0,0.0,,7.0,,468.0,,,,35.0,,,,433.0,
c21_1_d2.col,21,105,8,336,1534,OPTIMAL,7,0.000582665,0.00238146,0.00296412,45.46094,2.0,48.0,0.0,,8831.0,260.0,286.0,1139.0,,5.0,323.0,5.0,47.0,0.0,,47.0,,279.0,,,,46.0,,,,186.0,
GEOM40a.col,40,146,50,4000,15821,OPTIMAL,37,0.00398248,0.0233299,0.0273124,45.52734,69.0,11.0,0.0,,415223.0,1786.0,1956.0,24915.0,,2620.0,6428.0,65.0,201.0,0.0,,11.0,,10020.0,18.0,,,485.0,,,,6412.0,
GEOM40b.col,40,157,40,3200,12961,OPTIMAL,33,0.00376607,0.0104992,0.0142653,45.52734,27.0,12.0,0.0,,193863.0,1138.0,1224.0,16068.0,,2147.0,2560.0,29.0,110.0,0.0,,12.0,,3949.0,,,,353.0,,,,4084.0,
c21_2_d1.col,21,105,11,462,2122,OPTIMAL,9,0.000832334,0.00307441,0.00390675,45.52734,,7.0,0.0,,12750.0,189.0,197.0,1264.0,,32.0,220.0,7.0,38.0,0.0,,7.0,,468.0,,,,35.0,,,,433.0,
GEOM110a.col,110,1207,109,23980,183924,OPTIMAL,69,0.0470928,97.9448,97.9919,143.86719,150596.0,10430.0,0.0,4139.0,694629000.0,3560290.0,3628220.0,134937000.0,14444.0,31267000.0,6775870.0,525.0,192550.0,0.0,1200.0,359258.0,260266.0,195895.0,2621490.0,2490.0,83543.0,635061.0,208.0,101.0,155.0,30994200.0,21.0
GEOM120a.col,120,1434,109,26160,211867,OPTIMAL,82,0.0602595,174.04,174.101,149.77344,138083.0,8864.0,0.0,1355.0,472824000.0,2793540.0,2839270.0,92444000.0,12592.0,19286800.0,5590170.0,110.0,250891.0,0.0,870.0,289085.0,325765.0,102499.0,2015270.0,2526.0,105277.0,437366.0,173.0,74.0,112.0,26497100.0,18.0
c55_2_d2.col,55,362,8,880,4712,OPTIMAL,7,0.00115941,0.00336054,0.00451995,46.01562,2.0,101.0,0.0,,34587.0,756.0,809.0,5029.0,,96.0,989.0,,73.0,0.0,,100.0,,565.0,,,,140.0,,,,417.0,
GEOM20.col,20,20,24,960,2461,OPTIMAL,21,0.000710406,0.000989538,0.00169994,45.65234,,4.0,0.0,,3845.0,23.0,27.0,106.0,,0.0,63.0,12.0,1.0,0.0,,4.0,,728.0,,,,8.0,,,,48.0,
