name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,minishrunken,decisions,lucky,subsumed,minimized,vivified,strengthened,weakened,fixed,reduced,substituted,chronological,rephased,stabilizing,eliminated,shrunken,walked
GEOM80a.col,80,612,79,9920,57705,OPTIMAL,63,0.282878,2.8877,3.17058,101.98047,3685.0,448.0,0.0,15.0,18202500.0,88640.0,90695.0,1919380.0,418264.0,150895.0,2.0,8420.0,0.0,61.0,8661.0,30319.0,3048.0,31042.0,320.0,16194.0,18.0,7.0,9643.0,456901.0,2.0
GEOM30a.col,30,81,32,1560,5197,OPTIMAL,27,0.00999793,0.00376764,0.0137656,45.90625,,0.0,0.0,,20126.0,167.0,177.0,1894.0,285.0,288.0,4.0,15.0,0.0,,,,652.0,,,83.0,,,,400.0,
GEOM80b.col,80,663,98,9440,57918,OPTIMAL,60,0.722835,4.28571,5.00855,102.54297,5645.0,500.0,0.0,38.0,26922500.0,122775.0,125721.0,2944060.0,671025.0,218741.0,18.0,10688.0,0.0,52.0,15835.0,43529.0,6604.0,50432.0,480.0,23020.0,26.0,10.0,13870.0,748367.0,3.0
GEOM50b.col,50,249,54,3400,15217,OPTIMAL,35,0.165327,0.126737,0.292064,57.52344,187.0,32.0,0.0,,768583.0,3986.0,4203.0,75240.0,10172.0,9239.0,9.0,336.0,0.0,,32.0,,3584.0,54.0,,1175.0,1.0,1.0,,17447.0,
GEOM60a.col,60,339,61,5880,28312,OPTIMAL,50,0.0991741,0.32683,0.426004,61.6875,612.0,98.0,0.0,3.0,3180830.0,16889.0,17478.0,274953.0,48929.0,28771.0,2.0,1664.0,0.0,4.0,632.0,8988.0,1776.0,2341.0,,3896.0,7.0,4.0,2932.0,68847.0,
GEOM70.col,70,267,44,5180,20170,OPTIMAL,38,0.0395379,0.0257078,0.0652458,45.48438,58.0,10.0,0.0,,190746.0,1420.0,1502.0,19391.0,2145.0,2606.0,3.0,185.0,0.0,,10.0,,1331.0,9.0,,360.0,1.0,1.0,,6404.0,
GEOM30b.col,30,81,27,1500,4996,OPTIMAL,26,0.00580951,0.00234529,0.0081548,45.04688,,5.0,0.0,,3959.0,36.0,45.0,239.0,1.0,46.0,2.0,6.0,0.0,,5.0,,380.0,,,7.0,,,,40.0,
c21_3_d2.col,21,105,8,252,1114,OPTIMAL,7,0.00138478,0.00263562,0.00402041,45.54688,18.0,46.0,0.0,,9849.0,290.0,314.0,1372.0,6.0,398.0,2.0,67.0,0.0,,46.0,,162.0,,,52.0,,,,249.0,
c21_8_d1.col,21,105,11,336,1492,OPTIMAL,9,0.00253335,0.0034155,0.00594885,45.73438,4.0,6.0,0.0,,12407.0,207.0,213.0,1580.0,127.0,255.0,2.0,32.0,0.0,,6.0,,247.0,,,37.0,,,,340.0,
c21_1_d2.col,21,105,8,252,1114,OPTIMAL,7,0.000924267,0.0017512,0.00267547,45.55078,18.0,46.0,0.0,,9849.0,290.0,314.0,1372.0,6.0,398.0,2.0,67.0,0.0,,46.0,,162.0,,,52.0,,,,249.0,
GEOM40a.col,40,146,50,2880,10977,OPTIMAL,37,0.0432212,0.035462,0.0786832,45.48828,109.0,23.0,0.0,,298115.0,2110.0,2278.0,32648.0,3531.0,4064.0,5.0,226.0,0.0,,23.0,,1505.0,14.0,,619.0,1.0,1.0,,9167.0,
GEOM40b.col,40,157,40,2560,10105,OPTIMAL,33,0.0282759,0.0190045,0.0472804,45.61328,39.0,8.0,0.0,,155626.0,1066.0,1151.0,14565.0,1926.0,1983.0,3.0,132.0,0.0,,8.0,,961.0,,,348.0,,,,3936.0,
c21_2_d1.col,21,105,11,336,1492,OPTIMAL,9,0.00171629,0.002222,0.00393828,45.48828,4.0,6.0,0.0,,12407.0,207.0,213.0,1580.0,127.0,255.0,2.0,32.0,0.0,,6.0,,247.0,,,37.0,,,,340.0,
GEOM110a.col,110,1207,109,14960,111887,OPTIMAL,69,1.51775,94.1041,95.6219,128.95312,88688.0,6511.0,0.0,1042.0,410104000.0,1991510.0,2030180.0,64892800.0,14800600.0,3869900.0,15.0,118154.0,0.0,912.0,174458.0,241097.0,8893.0,1372550.0,2203.0,353815.0,148.0,33.0,77351.0,15628300.0,37.0
GEOM120a.col,120,1434,109,19440,154915,OPTIMAL,82,1.31476,106.674,107.989,128.66016,76297.0,5863.0,0.0,176.0,271281000.0,1613290.0,1639740.0,52393500.0,11361200.0,2848490.0,4.0,160703.0,0.0,533.0,169732.0,276357.0,6954.0,1111520.0,2175.0,242118.0,110.0,28.0,89270.0,15090100.0,24.0
c55_2_d2.col,55,362,8,660,3438,OPTIMAL,7,0.00266836,0.00390484,0.0065732,45.98047,86.0,79.0,0.0,,26023.0,596.0,642.0,3343.0,60.0,1038.0,,82.0,0.0,,76.0,,243.0,,,114.0,,,,499.0,
GEOM20.col,20,20,24,800,1981,OPTIMAL,21,0.00406466,0.00174587,0.00581053,45.55469,,3.0,0.0,,2784.0,23.0,25.0,81.0,0.0,49.0,3.0,2.0,0.0,,3.0,,376.0,,,10.0,,,,30.0,
