name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,minishrunken,decisions,lucky,subsumed,minimized,vivified,strengthened,weakened,fixed,reduced,substituted,chronological,rephased,stabilizing,eliminated,shrunken,walked
GEOM70a.col,70,459,72,8400,44271,OPTIMAL,61,0.152733,2.24822,2.40095,68.14453,5776.0,412.0,0.0,35.0,14077500.0,80829.0,82881.0,1618260.0,313401.0,149931.0,,7986.0,0.0,70.0,11647.0,38749.0,2167.0,27945.0,4.0,15981.0,18.0,8.0,12739.0,416275.0,2.0
c21_4_d1.col,21,105,11,336,1492,OPTIMAL,9,0.00256768,0.00388143,0.00644911,45.54297,8.0,9.0,0.0,,17237.0,259.0,271.0,1951.0,71.0,323.0,2.0,55.0,0.0,,8.0,,295.0,,,44.0,,,,656.0,
GEOM110b.col,110,1256,121,16720,128787,OPTIMAL,77,1.89652,177.91,179.806,155.84375,105239.0,6130.0,0.0,301.0,405957000.0,2036990.0,2069080.0,78870300.0,17688600.0,3553110.0,13.0,227966.0,0.0,826.0,225556.0,211901.0,10536.0,1439020.0,1787.0,286376.0,112.0,25.0,68160.0,25206500.0,27.0
GEOM80a.col,80,612,79,9920,57705,OPTIMAL,63,0.28142,2.74003,3.02145,103.15234,3244.0,380.0,0.0,19.0,18420400.0,79429.0,81361.0,1753740.0,384960.0,132510.0,4.0,7142.0,0.0,31.0,5641.0,45732.0,3401.0,30486.0,481.0,15047.0,18.0,8.0,14564.0,413438.0,2.0
GEOM30a.col,30,81,32,1560,5197,OPTIMAL,27,0.0132382,0.00517822,0.0184164,45.54297,1.0,3.0,0.0,,20566.0,176.0,187.0,2055.0,267.0,324.0,4.0,16.0,0.0,,3.0,,601.0,,,85.0,,,,445.0,
GEOM80b.col,80,663,98,9440,57918,OPTIMAL,60,0.722544,4.93996,5.6625,102.63281,6627.0,549.0,0.0,55.0,32197100.0,132636.0,136108.0,3198450.0,727572.0,236698.0,18.0,10661.0,0.0,49.0,12504.0,73651.0,7010.0,52278.0,800.0,25700.0,29.0,12.0,23481.0,815926.0,3.0
GEOM50b.col,50,249,54,3400,15217,OPTIMAL,35,0.0925163,0.0959512,0.188468,57.40234,194.0,42.0,0.0,,857698.0,4394.0,4643.0,90213.0,13496.0,9056.0,8.0,335.0,0.0,,42.0,,2362.0,114.0,,1309.0,2.0,2.0,,19573.0,
GEOM60a.col,60,339,61,5880,28312,OPTIMAL,50,0.0936636,0.334225,0.427889,61.47656,668.0,102.0,0.0,1.0,3260590.0,17072.0,17712.0,304752.0,53405.0,29517.0,3.0,1763.0,0.0,5.0,822.0,8979.0,1817.0,2017.0,,3806.0,7.0,4.0,2931.0,81269.0,
GEOM70.col,70,267,44,5180,20170,OPTIMAL,38,0.0438188,0.0313351,0.0751539,45.48438,106.0,19.0,0.0,,231870.0,1685.0,1794.0,24423.0,2640.0,3117.0,3.0,220.0,0.0,,19.0,,1367.0,10.0,,456.0,1.0,1.0,,8944.0,
GEOM30b.col,30,81,27,1500,4996,OPTIMAL,26,0.00368665,0.00139563,0.00508229,45.48438,,4.0,0.0,,3612.0,35.0,37.0,181.0,0.0,38.0,2.0,6.0,0.0,,4.0,,343.0,,,4.0,,,,33.0,
c21_3_d2.col,21,105,8,252,1114,OPTIMAL,7,0.00141684,0.0334946,0.0349114,45.55078,8.0,41.0,0.0,,7554.0,209.0,237.0,927.0,5.0,293.0,2.0,28.0,0.0,,41.0,,144.0,,,51.0,,,,123.0,
c21_8_d1.col,21,105,11,336,1492,OPTIMAL,9,0.0026329,0.00406933,0.00670223,45.48828,8.0,9.0,0.0,,17237.0,259.0,271.0,1951.0,71.0,323.0,2.0,55.0,0.0,,8.0,,295.0,,,44.0,,,,656.0,
c21_1_d2.col,21,105,8,252,1114,OPTIMAL,7,0.00141615,0.00203855,0.0034547,45.48828,8.0,41.0,0.0,,7554.0,209.0,237.0,927.0,5.0,293.0,2.0,28.0,0.0,,41.0,,144.0,,,51.0,,,,123.0,
GEOM40a.col,40,146,50,2880,10977,OPTIMAL,37,0.0479821,0.0473235,0.0953056,47.91016,175.0,40.0,0.0,,424469.0,3078.0,3320.0,44042.0,5185.0,5687.0,5.0,324.0,0.0,,40.0,,1507.0,33.0,,858.0,2.0,2.0,,11918.0,
GEOM40b.col,40,157,40,2560,10105,OPTIMAL,33,0.0229504,0.015532,0.0384824,45.48828,48.0,5.0,0.0,,141395.0,872.0,961.0,10134.0,1120.0,1730.0,3.0,74.0,0.0,,5.0,,1023.0,,,303.0,,,,2970.0,
c21_2_d1.col,21,105,11,336,1492,OPTIMAL,9,0.00210258,0.00266677,0.00476935,45.48828,8.0,9.0,0.0,,17237.0,259.0,271.0,1951.0,71.0,323.0,2.0,55.0,0.0,,8.0,,295.0,,,44.0,,,,656.0,
GEOM110a.col,110,1207,109,14960,111887,OPTIMAL,69,1.48287,246.157,247.64,150.83984,194351.0,10981.0,0.0,1605.0,794794000.0,3852990.0,3921200.0,134358000.0,30179400.0,7301380.0,15.0,255361.0,0.0,1738.0,353788.0,241125.0,8930.0,2834430.0,2220.0,622975.0,196.0,38.0,77354.0,32007200.0,52.0
GEOM120a.col,120,1434,109,19440,154915,OPTIMAL,82,1.29392,105.461,106.755,132.97266,76515.0,5943.0,0.0,192.0,269347000.0,1663160.0,1689590.0,53063800.0,11881000.0,2893990.0,4.0,168138.0,0.0,651.0,175616.0,212399.0,7073.0,1152220.0,1700.0,243870.0,109.0,24.0,68597.0,14703300.0,28.0
c55_2_d2.col,55,362,8,660,3438,OPTIMAL,7,0.00356696,0.00422794,0.0077949,45.92188,45.0,77.0,0.0,,28127.0,606.0,649.0,3524.0,73.0,953.0,,101.0,0.0,,75.0,,241.0,,,115.0,,,,528.0,
GEOM20.col,20,20,24,800,1981,OPTIMAL,21,0.00274153,0.00112831,0.00386985,45.68359,,4.0,0.0,,2476.0,14.0,18.0,54.0,0.0,44.0,3.0,,0.0,,4.0,,348.0,,,9.0,,,,22.0,
