name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,subsumed,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,minishrunken,decisions,lucky,vivified,minimized,strengthened,weakened,fixed,reduced,substituted,chronological,rephased,stabilizing,eliminated,shrunken,walked
GEOM60a.col,60,339,61,13122,77322,OPTIMAL,50,0.393916,0.724124,1.11804,73.30078,7937.0,338.0,477.0,0.0,,6185190.0,17180.0,17608.0,248068.0,17016.0,24427.0,1.0,3.0,0.0,18302.0,33299.0,302.0,2472.0,2.0,2756.0,4.0,2.0,10075.0,57700.0,
GEOM70.col,70,267,44,10884,53820,OPTIMAL,38,0.147385,0.0580658,0.205451,65.97656,354.0,10.0,27.0,0.0,,470986.0,1567.0,1609.0,16400.0,912.0,3323.0,,,0.0,27.0,,766.0,34.0,,306.0,1.0,1.0,,4451.0,
GEOM30b.col,30,81,27,2733,11807,OPTIMAL,26,0.0129833,0.00271336,0.0156966,45.97266,,,1.0,0.0,,8842.0,29.0,30.0,134.0,3.0,120.0,1.0,,0.0,1.0,,243.0,,,9.0,,,,29.0,
c21_3_d2.col,21,105,8,231,945,OPTIMAL,7,0.0018168,0.00587076,0.00768757,45.48438,518.0,64.0,8.0,0.0,,30797.0,880.0,891.0,9335.0,123.0,1082.0,1.0,,0.0,8.0,,92.0,,,144.0,,,,4514.0,
c21_8_d1.col,21,105,11,357,2082,OPTIMAL,9,0.00418432,0.00467338,0.00885771,45.54688,85.0,6.0,2.0,0.0,,25354.0,357.0,365.0,2505.0,98.0,407.0,2.0,,0.0,2.0,,220.0,,,66.0,,,,860.0,
c21_1_d2.col,21,105,8,231,945,OPTIMAL,7,0.00168645,0.00479258,0.00647902,45.54688,518.0,64.0,8.0,0.0,,30797.0,880.0,891.0,9335.0,123.0,1082.0,1.0,,0.0,8.0,,92.0,,,144.0,,,,4514.0,
GEOM40a.col,40,146,50,5851,28652,OPTIMAL,37,0.154055,0.0561664,0.210222,59.24609,411.0,47.0,39.0,0.0,,565682.0,2175.0,2226.0,22135.0,1621.0,3098.0,10.0,,0.0,39.0,,525.0,14.0,,471.0,1.0,1.0,,5025.0,
GEOM40b.col,40,157,40,5145,25578,OPTIMAL,33,0.0773928,0.0307873,0.10818,58.15625,167.0,4.0,24.0,0.0,,323149.0,969.0,988.0,8593.0,226.0,2129.0,,,0.0,23.0,,637.0,,,248.0,,,,2294.0,
c21_2_d1.col,21,105,11,357,2082,OPTIMAL,9,0.00408303,0.00455726,0.00864029,45.55078,85.0,6.0,2.0,0.0,,25354.0,357.0,365.0,2505.0,98.0,407.0,2.0,,0.0,2.0,,220.0,,,66.0,,,,860.0,
GEOM110a.col,110,1207,109,39403,314041,OPTIMAL,69,6.09793,237.159,243.257,167.57031,1846780.0,164116.0,23994.0,0.0,2092280.0,1280930000.0,5542290.0,5632020.0,178251000.0,18539000.0,7045480.0,13.0,10457.0,0.0,1200980.0,850368.0,600.0,3404310.0,,708971.0,205.0,30.0,265130.0,57842600.0,57.0
GEOM120a.col,120,1434,109,53161,437617,OPTIMAL,82,4.83657,1035.14,1039.97,224.55469,8535400.0,607534.0,133185.0,0.0,2938110.0,3985210000.0,22832300.0,23149100.0,770980000.0,64765700.0,26405600.0,5.0,34630.0,0.0,1841460.0,707212.0,792.0,13455900.0,,2380870.0,302.0,25.0,217334.0,255821000.0,92.0
c55_2_d2.col,55,362,8,605,2997,OPTIMAL,7,0.00400829,0.00394286,0.00795115,45.91406,565.0,52.0,5.0,0.0,,30993.0,852.0,859.0,9211.0,32.0,1115.0,,,0.0,5.0,,110.0,,,173.0,,,,5033.0,
GEOM20.col,20,20,24,1017,3351,OPTIMAL,21,0.00737696,0.00243134,0.0098083,46.16406,3.0,,2.0,0.0,,6203.0,32.0,35.0,159.0,4.0,247.0,2.0,,0.0,2.0,,166.0,,,9.0,,,,34.0,
