name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,restored,minishrunken,decisions,lucky,weakened,subsumed,minimized,strengthened,vivified,fixed,reduced,substituted,chronological,rephased,reactivated,stabilizing,eliminated,shrunken,walked
GEOM80a.col,80,612,79,46428,274407,OPTIMAL,63,0.0711978,8.7741,8.8453,112.27734,5161.0,2595.0,0.0,222811.0,92922300.0,308143.0,312549.0,6826400.0,7572.0,730207.0,457968.0,43.0,314178.0,161026.0,0.0,163393.0,714.0,64099.0,147447.0,1920.0,35331.0,32.0,,15.0,96520.0,1734360.0,5.0
GEOM30a.col,30,81,32,3918,17581,OPTIMAL,27,0.00645737,0.00487267,0.01133,45.47656,30.0,0.0,0.0,,141981.0,224.0,225.0,1400.0,,65.0,1538.0,24.0,,13.0,0.0,,,1818.0,,,110.0,,,,,247.0,
GEOM80b.col,80,663,98,65124,379758,OPTIMAL,60,0.0955813,5.49252,5.58811,125.59375,6934.0,2318.0,0.0,151835.0,159612000.0,177719.0,181274.0,3649640.0,772.0,266302.0,1283020.0,76.0,330360.0,129281.0,0.0,152750.0,452.0,466132.0,69318.0,5763.0,28275.0,23.0,,14.0,103783.0,1064890.0,2.0
GEOM50b.col,50,249,54,16890,86114,OPTIMAL,35,0.0267515,0.185417,0.212169,67.10156,431.0,74.0,0.0,,9093640.0,5200.0,5409.0,56595.0,,3912.0,75473.0,41.0,,588.0,0.0,74.0,,54144.0,319.0,,1933.0,1.0,,1.0,,11225.0,
GEOM60a.col,60,339,61,22134,122141,OPTIMAL,50,0.0304654,0.522853,0.553318,78.95703,260.0,446.0,0.0,7241.0,8007910.0,16344.0,16738.0,237190.0,,17609.0,43212.0,13.0,44880.0,11788.0,0.0,14896.0,,17187.0,2761.0,,2898.0,4.0,,2.0,15044.0,56475.0,
GEOM70.col,70,267,44,15538,75895,OPTIMAL,38,0.0202008,0.0485143,0.0687151,45.53906,25.0,22.0,0.0,,1282430.0,2065.0,2122.0,20394.0,,653.0,18637.0,,,573.0,0.0,22.0,,2907.0,26.0,,529.0,,,,,6374.0,
GEOM30b.col,30,81,27,3712,15685,OPTIMAL,26,0.00399107,0.0026405,0.00663157,45.28906,,3.0,0.0,,13739.0,43.0,46.0,146.0,,3.0,185.0,3.0,,8.0,0.0,2.0,,340.0,,,23.0,,,,,9.0,
c21_3_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000677459,0.00606536,0.00674282,45.48438,56.0,5.0,0.0,,33223.0,898.0,908.0,9106.0,,37.0,1115.0,3.0,,579.0,0.0,4.0,,178.0,,,147.0,,,,,4560.0,
c21_8_d1.col,21,105,11,561,3420,OPTIMAL,9,0.00139221,0.00485949,0.0062517,45.54688,,8.0,0.0,,32861.0,391.0,403.0,3168.0,,220.0,441.0,7.0,,46.0,0.0,8.0,,347.0,,,83.0,,,,,672.0,
c21_1_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000684383,0.00631672,0.0070011,45.48438,56.0,5.0,0.0,,33223.0,898.0,908.0,9106.0,,37.0,1115.0,3.0,,579.0,0.0,4.0,,178.0,,,147.0,,,,,4560.0,
GEOM40a.col,40,146,50,9586,47544,OPTIMAL,37,0.0169213,0.0364554,0.0533767,45.48438,70.0,56.0,0.0,,849017.0,2369.0,2426.0,25074.0,,1079.0,7174.0,105.0,,596.0,0.0,51.0,,14144.0,6.0,,510.0,,,,,8855.0,
GEOM40b.col,40,157,40,8416,40707,OPTIMAL,33,0.0129732,0.0284303,0.0414035,45.54688,24.0,17.0,0.0,,891228.0,1061.0,1106.0,10109.0,,558.0,9287.0,,,167.0,0.0,17.0,,4747.0,,,410.0,,,,,2032.0,
c21_2_d1.col,21,105,11,561,3420,OPTIMAL,9,0.00138746,0.00476352,0.00615098,45.54688,,8.0,0.0,,32861.0,391.0,403.0,3168.0,,220.0,441.0,7.0,,46.0,0.0,8.0,,347.0,,,83.0,,,,,672.0,
GEOM110a.col,110,1207,109,114898,722946,OPTIMAL,69,0.191352,119.638,119.829,198.59766,109813.0,20753.0,0.0,2046590.0,1138130000.0,4812120.0,4893460.0,162662000.0,31776.0,17857500.0,6544260.0,468.0,1550920.0,1694590.0,0.0,1279340.0,11989.0,788676.0,3121520.0,19996.0,684855.0,191.0,145.0,77.0,482902.0,46813600.0,29.0
GEOM120a.col,120,1434,109,132622,847164,OPTIMAL,82,0.22244,190.497,190.719,235.59766,102921.0,79716.0,0.0,2027270.0,1256020000.0,6049620.0,6163820.0,174376000.0,15224.0,14175000.0,7999140.0,132.0,1759520.0,2320980.0,0.0,1270430.0,12445.0,397265.0,3710080.0,33630.0,775245.0,172.0,312.0,52.0,546556.0,52783300.0,38.0
c55_2_d2.col,55,362,8,825,4161,OPTIMAL,7,0.00207169,0.00462095,0.00669264,46.03516,40.0,6.0,0.0,,40212.0,894.0,903.0,9635.0,,37.0,1348.0,,,536.0,0.0,4.0,,279.0,,,143.0,,,,,4731.0,
GEOM20.col,20,20,24,1360,4607,OPTIMAL,21,0.00182955,0.00209329,0.00392284,45.60938,,3.0,0.0,,14784.0,57.0,60.0,288.0,,0.0,675.0,9.0,,8.0,0.0,3.0,,420.0,,,28.0,,,,,137.0,
