name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,minishrunken,decisions,lucky,subsumed,minimized,vivified,strengthened,weakened,fixed,reduced,substituted,chronological,rephased,stabilizing,eliminated,shrunken,walked
GEOM70b.col,70,488,76,8295,66892,OPTIMAL,47,0.944964,3.6986,4.64357,78.40234,3069.0,1709.0,0.0,67442.0,28340800.0,112309.0,115351.0,2292760.0,262398.0,163001.0,9.0,32120.0,0.0,66.0,53108.0,40111.0,2819.0,48224.0,10.0,21065.0,23.0,8.0,10234.0,505893.0,4.0
c21_1_d1.col,21,105,8,231,948,OPTIMAL,7,0.00180683,0.00240304,0.00420987,45.51953,15.0,2.0,0.0,,14911.0,427.0,432.0,3995.0,14.0,478.0,2.0,239.0,0.0,,2.0,,113.0,,,77.0,,,,1978.0,
GEOM120b.col,120,1491,123,26260,340314,OPTIMAL,83,6.67347,2771.17,2777.84,340.78906,1570710.0,294875.0,0.0,3967440.0,11930900000.0,45055300.0,45782200.0,1743050000.0,151048000.0,55436100.0,2.0,16024000.0,0.0,84035.0,2049880.0,477283.0,6597.0,28160300.0,51.0,5373950.0,477.0,37.0,128372.0,586274000.0,148.0
c21_5_d1.col,21,105,8,231,948,OPTIMAL,7,0.00190529,0.0054826,0.00738789,46.01562,15.0,2.0,0.0,,14911.0,427.0,432.0,3995.0,14.0,478.0,2.0,239.0,0.0,,2.0,,113.0,,,77.0,,,,1978.0,
GEOM50.col,50,127,36,3094,13960,OPTIMAL,28,0.0563157,0.00781732,0.064133,45.95312,,2.0,0.0,,48108.0,188.0,193.0,1468.0,34.0,2104.0,3.0,46.0,0.0,,2.0,,662.0,,,59.0,,,,386.0,
GEOM90.col,90,441,54,9965,65427,OPTIMAL,46,0.254412,0.0969683,0.351381,66.26562,44.0,63.0,0.0,,923939.0,3875.0,3977.0,45010.0,2842.0,12724.0,1.0,667.0,0.0,,63.0,,1171.0,150.0,,847.0,2.0,1.0,,8282.0,
GEOM80.col,80,349,54,7949,48971,OPTIMAL,41,0.304533,0.0538884,0.358421,64.07422,15.0,29.0,0.0,,467616.0,1641.0,1690.0,19645.0,1260.0,9173.0,4.0,388.0,0.0,,28.0,,1578.0,,,388.0,,,,5200.0,
GEOM90a.col,90,789,80,14228,143000,OPTIMAL,63,1.10226,11.017,12.1193,93.49609,5289.0,3157.0,0.0,227566.0,75887000.0,282525.0,287692.0,6420750.0,698869.0,357378.0,2.0,96893.0,0.0,105.0,120667.0,90097.0,2527.0,135263.0,17.0,35512.0,36.0,12.0,24617.0,1619190.0,7.0
c21_6_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00278483,0.00197301,0.00475785,46.01953,1.0,8.0,0.0,,13906.0,204.0,213.0,1347.0,62.0,284.0,2.0,65.0,0.0,,8.0,,209.0,,,25.0,,,,453.0,
GEOM90b.col,90,860,109,15926,169496,OPTIMAL,69,3.3607,41.6178,44.9784,111.04688,25666.0,9399.0,0.0,605178.0,267356000.0,1052660.0,1068500.0,27511000.0,2590580.0,1275660.0,8.0,398432.0,0.0,258.0,344843.0,173069.0,5469.0,559308.0,10.0,118846.0,79.0,19.0,48168.0,7959930.0,20.0
c55_1_d1.col,55,362,8,605,3000,OPTIMAL,7,0.00341355,0.00488953,0.00830308,46.02734,52.0,5.0,0.0,,38896.0,962.0,980.0,11832.0,74.0,1316.0,,590.0,0.0,,5.0,,121.0,,,214.0,,,,6184.0,
GEOM50a.col,50,238,61,6268,41353,OPTIMAL,50,0.203655,0.424272,0.627928,64.52734,329.0,481.0,0.0,5.0,4392260.0,14292.0,14786.0,203510.0,11833.0,22255.0,4.0,5967.0,0.0,22.0,9011.0,14496.0,1137.0,1900.0,,2406.0,4.0,2.0,3794.0,45544.0,
GEOM20a.col,20,37,24,860,3268,OPTIMAL,20,0.00705829,0.00186982,0.00892811,45.73047,,2.0,0.0,,8466.0,54.0,56.0,206.0,3.0,404.0,4.0,8.0,0.0,,2.0,,711.0,,,25.0,,,,45.0,
GEOM100.col,100,547,64,12514,88960,OPTIMAL,50,0.572595,0.77796,1.35055,80.85156,547.0,524.0,0.0,44.0,5955780.0,20336.0,20916.0,313461.0,22482.0,39482.0,7.0,9601.0,0.0,10.0,19992.0,27611.0,1374.0,2942.0,4.0,3535.0,6.0,3.0,7535.0,77469.0,
GEOM110.col,110,638,64,13757,101711,OPTIMAL,50,0.656409,1.2469,1.90331,84.92578,203.0,404.0,0.0,12.0,8108750.0,20345.0,20901.0,320636.0,23569.0,34522.0,7.0,15482.0,0.0,14.0,44915.0,60013.0,1447.0,2409.0,9.0,3697.0,7.0,3.0,16578.0,82091.0,
c21_5_d2.col,21,105,8,231,948,OPTIMAL,7,0.00162754,0.00242245,0.00405,45.48438,15.0,2.0,0.0,,14911.0,427.0,432.0,3995.0,14.0,478.0,2.0,239.0,0.0,,2.0,,113.0,,,77.0,,,,1978.0,
c21_8_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00425346,0.003036,0.00728946,45.97266,1.0,8.0,0.0,,13906.0,204.0,213.0,1347.0,62.0,284.0,2.0,65.0,0.0,,8.0,,209.0,,,25.0,,,,453.0,
c21_7_d2.col,21,105,8,231,948,OPTIMAL,7,0.00142849,0.0022101,0.00363859,45.97266,15.0,2.0,0.0,,14911.0,427.0,432.0,3995.0,14.0,478.0,2.0,239.0,0.0,,2.0,,113.0,,,77.0,,,,1978.0,
