name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,minishrunken,decisions,lucky,subsumed,minimized,vivified,strengthened,weakened,fixed,reduced,substituted,chronological,rephased,stabilizing,eliminated,shrunken,walked
GEOM70a.col,70,459,72,8400,44270,OPTIMAL,61,0.150234,2.4707,2.62094,67.99609,5510.0,428.0,0.0,25.0,13978200.0,91568.0,93681.0,1936870.0,399067.0,165133.0,,7998.0,0.0,55.0,12693.0,25775.0,1240.0,35575.0,1.0,17568.0,18.0,7.0,8482.0,491292.0,3.0
c21_4_d1.col,21,105,11,336,1491,OPTIMAL,9,0.00238861,0.00391852,0.00630713,45.96094,1.0,4.0,0.0,,21820.0,338.0,344.0,3036.0,180.0,379.0,1.0,68.0,0.0,,4.0,,259.0,,,42.0,,,,880.0,
GEOM110b.col,110,1256,121,16720,128786,OPTIMAL,77,1.89402,217.519,219.413,142.70703,119578.0,6144.0,0.0,208.0,474576000.0,2206590.0,2239990.0,89117700.0,20469000.0,3850190.0,13.0,253449.0,0.0,815.0,261216.0,184370.0,5623.0,1584370.0,1587.0,292419.0,113.0,25.0,59338.0,28668600.0,28.0
GEOM80a.col,80,612,79,9920,57704,OPTIMAL,63,0.280126,5.82112,6.10125,103.49609,11515.0,645.0,0.0,35.0,29903600.0,155793.0,159292.0,3623300.0,681980.0,295459.0,2.0,17343.0,0.0,64.0,15347.0,46137.0,2167.0,72512.0,484.0,27259.0,25.0,9.0,14666.0,1050500.0,4.0
GEOM30a.col,30,81,32,1560,5196,OPTIMAL,27,0.0129363,0.00524214,0.0181785,45.35156,1.0,5.0,0.0,,23388.0,188.0,200.0,2281.0,279.0,381.0,3.0,19.0,0.0,,5.0,,395.0,,,92.0,,,,480.0,
GEOM80b.col,80,663,98,9440,57917,OPTIMAL,60,0.726224,3.94695,4.67317,103.69531,4326.0,482.0,0.0,28.0,26577100.0,103928.0,106362.0,2601320.0,583074.0,174133.0,18.0,9565.0,0.0,36.0,10875.0,58687.0,3712.0,41961.0,641.0,19558.0,22.0,10.0,18740.0,716348.0,2.0
GEOM50b.col,50,249,54,3400,15216,OPTIMAL,35,0.094396,0.119072,0.213468,57.98438,255.0,56.0,0.0,,1080000.0,5769.0,6071.0,112301.0,18576.0,11138.0,11.0,515.0,0.0,,54.0,,2007.0,386.0,,1705.0,3.0,2.0,,24759.0,
GEOM60a.col,60,339,61,5880,28311,OPTIMAL,50,0.0954679,0.334796,0.430264,61.85156,608.0,91.0,0.0,1.0,3255680.0,17373.0,17996.0,302219.0,53354.0,29159.0,3.0,1893.0,0.0,7.0,821.0,9054.0,1092.0,1963.0,,3839.0,7.0,4.0,2956.0,80387.0,
GEOM70.col,70,267,44,5180,20169,OPTIMAL,38,0.0403922,0.0267102,0.0671025,45.47656,116.0,18.0,0.0,,212457.0,1551.0,1626.0,21615.0,2255.0,3082.0,3.0,222.0,0.0,,18.0,,1033.0,7.0,,430.0,1.0,1.0,,6961.0,
GEOM30b.col,30,81,27,1500,4995,OPTIMAL,26,0.00587447,0.00226398,0.00813846,45.53906,,4.0,0.0,,3532.0,35.0,37.0,181.0,0.0,38.0,2.0,6.0,0.0,,4.0,,263.0,,,4.0,,,,33.0,
