name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,subsumed,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,minishrunken,decisions,lucky,vivified,minimized,strengthened,weakened,fixed,reduced,substituted,chronological,rephased,stabilizing,eliminated,shrunken,walked
GEOM50b.col,50,249,54,4050,26370,OPTIMAL,35,0.241411,0.135086,0.376497,60.06641,577.0,37.0,100.0,0.0,,1152100.0,4458.0,4623.0,59317.0,5711.0,9502.0,7.0,,0.0,99.0,,756.0,125.0,,1122.0,1.0,1.0,,8937.0,
GEOM60a.col,60,339,61,7500,55541,OPTIMAL,50,0.252646,0.559295,0.811941,70.83984,8079.0,427.0,402.0,0.0,2.0,5603700.0,19831.0,20330.0,300555.0,19019.0,31900.0,1.0,28.0,0.0,13775.0,17898.0,281.0,3211.0,,3275.0,6.0,3.0,4581.0,76184.0,
GEOM70.col,70,267,44,6580,36435,OPTIMAL,38,0.0994374,0.0360416,0.135479,59.44141,415.0,32.0,28.0,0.0,,330140.0,1719.0,1765.0,19689.0,983.0,6513.0,,,0.0,27.0,,502.0,15.0,,409.0,1.0,1.0,,4763.0,
GEOM30b.col,30,81,27,1680,7512,OPTIMAL,26,0.00709116,0.00130023,0.00839139,45.54297,3.0,,2.0,0.0,,3353.0,18.0,20.0,72.0,0.0,163.0,1.0,,0.0,2.0,,129.0,,,4.0,,,,14.0,
c21_3_d2.col,21,105,8,231,945,OPTIMAL,7,0.0015391,0.00408334,0.00562244,45.54297,518.0,64.0,8.0,0.0,,30797.0,880.0,891.0,9335.0,123.0,1082.0,1.0,,0.0,8.0,,92.0,,,144.0,,,,4514.0,
c21_8_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00318872,0.00258182,0.00577054,45.54297,100.0,,4.0,0.0,,19191.0,294.0,309.0,2142.0,77.0,382.0,2.0,,0.0,4.0,,145.0,,,56.0,,,,771.0,
c21_1_d2.col,21,105,8,231,945,OPTIMAL,7,0.00174709,0.00579313,0.00754022,45.48047,518.0,64.0,8.0,0.0,,30797.0,880.0,891.0,9335.0,123.0,1082.0,1.0,,0.0,8.0,,92.0,,,144.0,,,,4514.0,
GEOM40a.col,40,146,50,3400,18800,OPTIMAL,37,0.108066,0.0257747,0.133841,57.24609,281.0,11.0,21.0,0.0,,226637.0,1298.0,1342.0,15062.0,849.0,3079.0,10.0,,0.0,21.0,,515.0,,,279.0,,,,3550.0,
GEOM40b.col,40,157,40,3080,17322,OPTIMAL,33,0.0549149,0.0136429,0.0685578,44.42188,85.0,2.0,11.0,0.0,,121056.0,516.0,528.0,5193.0,169.0,2057.0,2.0,,0.0,11.0,,332.0,,,180.0,,,,1050.0,
c21_2_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00277781,0.00276911,0.00554692,45.54688,100.0,,4.0,0.0,,19191.0,294.0,309.0,2142.0,77.0,382.0,2.0,,0.0,4.0,,145.0,,,56.0,,,,771.0,
GEOM110a.col,110,1207,109,19470,234818,OPTIMAL,69,4.36454,218.427,222.792,157.04688,1622400.0,155805.0,26981.0,0.0,2026180.0,1179980000.0,5183610.0,5270330.0,177410000.0,20585000.0,6625170.0,13.0,9516.0,0.0,625822.0,319312.0,928.0,3252500.0,7.0,672622.0,180.0,26.0,82899.0,53434700.0,51.0
GEOM120a.col,120,1434,109,25200,326219,OPTIMAL,82,3.84501,861.562,865.407,199.88672,7562880.0,490605.0,146793.0,0.0,2681270.0,3560540000.0,20214500.0,20500800.0,654344000.0,56665400.0,22967300.0,5.0,38381.0,0.0,1293150.0,417904.0,791.0,11896500.0,1.0,2198320.0,275.0,31.0,108092.0,185839000.0,81.0
c55_2_d2.col,55,362,8,605,2997,OPTIMAL,7,0.00541026,0.00580504,0.0112153,45.55078,565.0,52.0,5.0,0.0,,30993.0,852.0,859.0,9211.0,32.0,1115.0,,,0.0,5.0,,110.0,,,173.0,,,,5033.0,
GEOM20.col,20,20,24,906,2749,OPTIMAL,21,0.00464747,0.00143416,0.00608163,45.91406,6.0,,0.0,0.0,,4755.0,26.0,29.0,139.0,0.0,362.0,2.0,,0.0,,,150.0,,,10.0,,,,43.0,
