name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,restored,minishrunken,decisions,lucky,subsumed,minimized,vivified,strengthened,weakened,fixed,reduced,substituted,eliminated,chronological,rephased,reactivated,stabilizing,shrunken,walked
GEOM40.col,40,78,33,3175,13604,OPTIMAL,28,0.00521823,0.00348754,0.00870577,45.50781,,8.0,0.0,,43471.0,87.0,91.0,527.0,,9.0,2862.0,17.0,11.0,0.0,,8.0,,1407.0,,,,33.0,,,,125.0,
c21_3_d1.col,21,105,8,315,1323,OPTIMAL,7,0.00047898,0.00411852,0.0045975,45.63672,56.0,5.0,0.0,,33223.0,898.0,908.0,9106.0,,37.0,1115.0,3.0,579.0,0.0,,4.0,,178.0,,,,147.0,,,,4560.0,
GEOM60.col,60,185,36,5192,26354,OPTIMAL,33,0.0135331,0.00599229,0.0195254,45.8125,,1.0,0.0,,94641.0,212.0,215.0,1945.0,,25.0,4204.0,,35.0,0.0,,1.0,,969.0,,,,51.0,,,,535.0,
GEOM70b.col,70,488,76,13984,119771,OPTIMAL,47,0.0392763,2.63191,2.67119,77.59375,2972.0,1586.0,0.0,82256.0,36102900.0,126157.0,129393.0,2668210.0,1144.0,304331.0,249714.0,284.0,44470.0,0.0,234.0,75974.0,63333.0,72600.0,47469.0,1374.0,16839.0,24109.0,21.0,29.0,10.0,615279.0,1.0
c21_1_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000707464,0.00620105,0.00690852,45.94141,56.0,5.0,0.0,,33223.0,898.0,908.0,9106.0,,37.0,1115.0,3.0,579.0,0.0,,4.0,,178.0,,,,147.0,,,,4560.0,
GEOM120b.col,120,1491,123,39480,530219,OPTIMAL,83,0.186974,1145.3,1145.49,209.49609,674803.0,163850.0,0.0,5040650.0,7944710000.0,25865500.0,26290500.0,936307000.0,28596.0,98922000.0,33339000.0,82.0,7554850.0,0.0,70436.0,1862590.0,581172.0,235939.0,17137300.0,4260.0,157217.0,3169980.0,413.0,1064.0,113.0,293724000.0,100.0
c21_5_d1.col,21,105,8,315,1323,OPTIMAL,7,0.00071844,0.00485145,0.00556989,45.26953,56.0,5.0,0.0,,33223.0,898.0,908.0,9106.0,,37.0,1115.0,3.0,579.0,0.0,,4.0,,178.0,,,,147.0,,,,4560.0,
GEOM50.col,50,127,36,4324,20423,OPTIMAL,28,0.00699573,0.00563725,0.012633,46.01172,,10.0,0.0,,123907.0,112.0,117.0,710.0,,7.0,7675.0,27.0,11.0,0.0,,10.0,,3440.0,,,,50.0,,,,113.0,
GEOM90.col,90,441,54,12182,81495,OPTIMAL,46,0.0281619,0.0886727,0.116835,67.82812,16.0,49.0,0.0,,1296310.0,3928.0,4023.0,46462.0,,2213.0,25729.0,10.0,823.0,0.0,,47.0,,5913.0,128.0,,,894.0,2.0,,1.0,10449.0,
GEOM80.col,80,349,54,10820,68630,OPTIMAL,41,0.0232276,0.0426095,0.0658371,45.46484,20.0,11.0,0.0,,1119760.0,2142.0,2204.0,32626.0,,2759.0,33785.0,54.0,310.0,0.0,,11.0,,14366.0,32.0,,,500.0,,,,4538.0,
