name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,restored,minishrunken,decisions,lucky,subsumed,fixed,reduced,substituted,chronological,rephased,reactivated,stabilizing,minimized,vivified,strengthened,weakened,eliminated,shrunken,walked
GEOM50a.col,50,238,61,7800,53389,OPTIMAL,50,0.0185111,0.447944,0.466456,65.17969,492.0,539.0,0.0,,5871740.0,19126.0,19703.0,281276.0,,17345.0,41658.0,42.0,8539.0,6527.0,3065.0,304.0,3356.0,7.0,,4.0,0.0,59.0,11053.0,14494.0,3861.0,73448.0,
GEOM20a.col,20,37,24,1073,4230,OPTIMAL,20,0.00212409,0.00308476,0.00520884,45.73438,,6.0,0.0,,18117.0,113.0,124.0,737.0,,33.0,522.0,18.0,25.0,511.0,,,30.0,,,,0.0,,6.0,,,109.0,
GEOM100.col,100,547,64,16900,121785,OPTIMAL,50,0.0430501,0.733682,0.776732,81.45703,256.0,275.0,0.0,,6435800.0,18409.0,18938.0,283148.0,,24602.0,62137.0,91.0,10377.0,25137.0,2727.0,602.0,3518.0,4.0,,2.0,0.0,79.0,24237.0,28315.0,7883.0,60512.0,
GEOM110.col,110,638,64,18590,139010,OPTIMAL,50,0.0486439,0.731584,0.780228,83.90625,150.0,304.0,0.0,2.0,6326700.0,18111.0,18670.0,289179.0,,23117.0,59053.0,91.0,11455.0,27738.0,2732.0,660.0,3562.0,4.0,,2.0,0.0,85.0,27514.0,30943.0,8658.0,64936.0,
c21_5_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000706999,0.00458365,0.00529065,45.48438,56.0,5.0,0.0,,33223.0,898.0,908.0,9106.0,,37.0,1115.0,3.0,579.0,178.0,,,147.0,,,,0.0,,4.0,,,4560.0,
c21_8_d2.col,21,105,11,441,2940,OPTIMAL,9,0.0013345,0.00402646,0.00536096,45.54688,,6.0,0.0,,25863.0,333.0,346.0,2688.0,,200.0,505.0,7.0,65.0,314.0,,,92.0,,,,0.0,,6.0,,,561.0,
c21_7_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000447069,0.00439526,0.00484233,45.91016,56.0,5.0,0.0,,33223.0,898.0,908.0,9106.0,,37.0,1115.0,3.0,579.0,178.0,,,147.0,,,,0.0,,4.0,,,4560.0,
GEOM70a.col,70,459,72,12950,108118,OPTIMAL,61,0.0382954,3.50845,3.54675,79.67578,6178.0,1941.0,0.0,128287.0,39140600.0,180967.0,183931.0,3743850.0,146.0,293991.0,260096.0,,75204.0,8409.0,81513.0,420.0,22386.0,26.0,,12.0,0.0,132.0,66335.0,52053.0,14207.0,1200770.0,1.0
c21_4_d1.col,21,105,11,441,2940,OPTIMAL,9,0.000853423,0.00250935,0.00336277,45.84766,,6.0,0.0,,25863.0,333.0,346.0,2688.0,,200.0,505.0,7.0,65.0,314.0,,,92.0,,,,0.0,,6.0,,,561.0,
GEOM110b.col,110,1256,121,35750,447284,OPTIMAL,77,0.154711,755.25,755.405,195.51953,340873.0,79806.0,0.0,1579280.0,3849500000.0,13840700.0,14040700.0,496887000.0,3596.0,55054300.0,16468500.0,178.0,4889770.0,270673.0,8310080.0,1784.0,1430140.0,205.0,108.0,37.0,0.0,39907.0,836932.0,223875.0,58295.0,149150000.0,56.0
GEOM80a.col,80,612,79,16480,154615,OPTIMAL,63,0.050467,8.33894,8.38941,89.26172,3731.0,2332.0,0.0,190745.0,70420900.0,298784.0,303006.0,6838300.0,,771859.0,419913.0,43.0,105750.0,21283.0,158996.0,1920.0,32695.0,28.0,,9.0,0.0,384.0,74242.0,62315.0,15727.0,1758320.0,5.0
GEOM30a.col,30,81,32,2310,11149,OPTIMAL,27,0.00371254,0.00298331,0.00669585,45.54688,,3.0,0.0,,34818.0,171.0,179.0,1976.0,,195.0,809.0,24.0,5.0,1248.0,,,54.0,,,,0.0,,3.0,,,216.0,
GEOM80b.col,80,663,98,20640,201822,OPTIMAL,60,0.0676505,5.2531,5.32075,96.28125,5769.0,4108.0,0.0,231218.0,80416300.0,280716.0,286863.0,5977080.0,1997.0,479539.0,548271.0,442.0,123436.0,138527.0,121441.0,884.0,41662.0,42.0,3.0,23.0,0.0,292.0,208914.0,125815.0,33198.0,1894620.0,2.0
GEOM50b.col,50,249,54,6750,45554,OPTIMAL,35,0.0149847,0.0984602,0.113445,61.63672,102.0,62.0,0.0,,1888410.0,5154.0,5275.0,71329.0,,6354.0,27031.0,126.0,765.0,20339.0,272.0,,1167.0,2.0,,1.0,0.0,,62.0,,,13363.0,
GEOM60a.col,60,339,61,9360,71045,OPTIMAL,50,0.0240748,0.489666,0.513741,70.15625,100.0,394.0,0.0,7.0,5177960.0,15385.0,15819.0,221086.0,,15075.0,41690.0,13.0,8156.0,7794.0,2512.0,362.0,2750.0,4.0,,2.0,0.0,63.0,14613.0,17262.0,4624.0,54349.0,
GEOM70.col,70,267,44,7560,43983,OPTIMAL,38,0.0166087,0.0286316,0.0452404,45.42578,38.0,16.0,0.0,,512119.0,1611.0,1642.0,19002.0,,781.0,12821.0,,449.0,2596.0,21.0,,372.0,1.0,,1.0,0.0,,16.0,,,4966.0,
GEOM30b.col,30,81,27,1800,8037,OPTIMAL,26,0.00303107,0.0014465,0.00447757,45.48828,,0.0,0.0,,8300.0,31.0,34.0,178.0,,0.0,320.0,3.0,8.0,243.0,,,11.0,,,,0.0,,,,,32.0,
c21_3_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000704156,0.00462542,0.00532958,45.55078,56.0,5.0,0.0,,33223.0,898.0,908.0,9106.0,,37.0,1115.0,3.0,579.0,178.0,,,147.0,,,,0.0,,4.0,,,4560.0,
c21_8_d1.col,21,105,11,441,2940,OPTIMAL,9,0.0013069,0.00272073,0.00402764,45.55078,,6.0,0.0,,25863.0,333.0,346.0,2688.0,,200.0,505.0,7.0,65.0,314.0,,,92.0,,,,0.0,,6.0,,,561.0,
c21_1_d2.col,21,105,8,315,1323,OPTIMAL,7,0.00070572,0.00464682,0.00535254,45.61328,56.0,5.0,0.0,,33223.0,898.0,908.0,9106.0,,37.0,1115.0,3.0,579.0,178.0,,,147.0,,,,0.0,,4.0,,,4560.0,
GEOM40a.col,40,146,50,5080,29520,OPTIMAL,37,0.00986059,0.0240798,0.0339404,45.55469,13.0,12.0,0.0,,281716.0,1056.0,1088.0,12321.0,,386.0,5406.0,105.0,206.0,8136.0,,,282.0,,,,0.0,,12.0,,,2589.0,
GEOM40b.col,40,157,40,4000,23043,OPTIMAL,33,0.00781021,0.0134565,0.0212667,45.85547,,44.0,0.0,,269029.0,928.0,967.0,9975.0,,443.0,5685.0,17.0,122.0,2707.0,,,240.0,,,,0.0,,43.0,,,2123.0,
c21_2_d1.col,21,105,11,441,2940,OPTIMAL,9,0.00131173,0.00406529,0.00537702,45.55469,,6.0,0.0,,25863.0,333.0,346.0,2688.0,,200.0,505.0,7.0,65.0,314.0,,,92.0,,,,0.0,,6.0,,,561.0,
GEOM110a.col,110,1207,109,32340,392714,OPTIMAL,69,0.131147,113.989,114.12,143.33203,104523.0,22368.0,0.0,2407630.0,975202000.0,4518560.0,4598070.0,158648000.0,42755.0,17399000.0,6173850.0,468.0,1461760.0,225783.0,2869510.0,8580.0,641618.0,196.0,112.0,100.0,0.0,7036.0,866536.0,444451.0,110856.0,48619800.0,21.0
GEOM120a.col,120,1434,109,35280,457796,OPTIMAL,82,0.155166,755.559,755.714,186.32031,473013.0,155852.0,0.0,3849200.0,3758340000.0,20711600.0,21000700.0,671682000.0,20250.0,60781300.0,23825900.0,132.0,7199860.0,111286.0,12550900.0,3881.0,2275020.0,323.0,32.0,84.0,0.0,42087.0,1570380.0,451966.0,117202.0,176061000.0,75.0
c55_2_d2.col,55,362,8,825,4161,OPTIMAL,7,0.00164285,0.00429487,0.00593772,45.85938,40.0,6.0,0.0,,40212.0,894.0,903.0,9635.0,,37.0,1348.0,,536.0,279.0,,,143.0,,,,0.0,,4.0,,,4731.0,
GEOM20.col,20,20,24,1066,3431,OPTIMAL,21,0.00149928,0.00177117,0.00327046,45.62109,,2.0,0.0,,7660.0,24.0,27.0,133.0,,1.0,723.0,9.0,6.0,440.0,,,5.0,,,,0.0,,2.0,,,49.0,
