name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,timed_out,optimality_proven,run_id,source_sha,source_dirty,input_sha256,binary_sha256,command,host,platform,compiler,runner_versions,concurrency,recorded_at,solver,solver_seed,method,time_limit,incremental,incremental_variable,symmetry_breaking,pairwise,width
GEOM60.col,60,185,37,7305,33993,OPTIMAL,33,0.0564013,0.0127973,0.0691986,51.04688,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,9575aa95916bb0ddb24ac95ceb686ad79834715a8c3c97743905c76227ffa048,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM60.col 'Xa(cache)' -t 3600 --width vary,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-19T19:47:28.261787+07:00,CaDiCaL,0,Xa(cache),3600,False,,False,False,vary
GEOM60a.col,60,339,62,13122,77322,OPTIMAL,50,0.320117,0.619401,0.939517,80.35938,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,c6266e394b59107ef80c14a3ed0d8dd4ae62c646238c8358f8080547a85fd68c,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM60a.col 'Xa(cache)' -t 3600 --width vary,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-19T19:47:29.270179+07:00,CaDiCaL,0,Xa(cache),3600,False,,False,False,vary
GEOM60b.col,60,366,64,11139,65245,OPTIMAL,41,0.559905,1.00593,1.56584,82.61719,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,8305498f1acbb0e13fc3e5b6756eebb72600bd69b237f5d836248a8d8e040f76,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM60b.col 'Xa(cache)' -t 3600 --width vary,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-19T19:47:30.947014+07:00,CaDiCaL,0,Xa(cache),3600,False,,False,False,vary
GEOM70.col,70,267,45,10884,53820,OPTIMAL,38,0.139625,0.056138,0.195763,70.92578,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,6709158dd6a0c24605665511d543798f2cda198fb9b943c841d842af483b8b5f,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM70.col 'Xa(cache)' -t 3600 --width vary,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-19T19:47:31.228861+07:00,CaDiCaL,0,Xa(cache),3600,False,,False,False,vary
GEOM70a.col,70,459,73,19647,124330,OPTIMAL,61,0.517678,5.01916,5.53684,97.83594,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,e256a1a0b8f2637a931d35ffacdb28b715bcafa769a4bbedc21eb991683d0a40,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM70a.col 'Xa(cache)' -t 3600 --width vary,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-19T19:47:36.931952+07:00,CaDiCaL,0,Xa(cache),3600,False,,False,False,vary
GEOM70b.col,70,488,77,15612,96137,OPTIMAL,47,1.13136,4.17733,5.30869,92.10156,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,50b43cacfa298b2c9f4c05ca437a5559b357c8348aa59226bf3c2fd9b98b03b8,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM70b.col 'Xa(cache)' -t 3600 --width vary,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-19T19:47:42.438577+07:00,CaDiCaL,0,Xa(cache),3600,False,,False,False,vary
GEOM80.col,80,349,55,13626,71659,OPTIMAL,41,0.360663,0.0996764,0.46034,77.26562,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,46454b38ff8d83fe0020c6f3e5408c0ca37e868bc79f74749c4a8e555730df9c,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM80.col 'Xa(cache)' -t 3600 --width vary,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-19T19:47:43.032674+07:00,CaDiCaL,0,Xa(cache),3600,False,,False,False,vary
GEOM80a.col,80,612,80,24385,162851,OPTIMAL,63,0.982399,9.97711,10.9595,110.62109,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,f8cd1c510008df8e302411facc59a809be027620b27f632f811c1c94c76d78c9,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM80a.col 'Xa(cache)' -t 3600 --width vary,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-19T19:47:54.222337+07:00,CaDiCaL,0,Xa(cache),3600,False,,False,False,vary
GEOM80b.col,80,663,99,23663,161029,OPTIMAL,60,2.51919,6.33873,8.85793,114.13281,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,a8dcc40cfc8d87903196406f815c4d512a7c68e3e966538768a0601bfac7d301,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM80b.col 'Xa(cache)' -t 3600 --width vary,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-19T19:48:03.552710+07:00,CaDiCaL,0,Xa(cache),3600,False,,False,False,vary
GEOM90.col,90,441,55,18246,98528,OPTIMAL,46,0.32254,0.14822,0.47076,84.42188,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,8b99774b70737296ed7b4c8a3ad9ec1827182467166c5e7c93a1c2117473f7cf,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM90.col 'Xa(cache)' -t 3600 --width vary,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-19T19:48:04.111990+07:00,CaDiCaL,0,Xa(cache),3600,False,,False,False,vary
