name,V,E,upper_bound,method,cache,width,incremental,symmetry,pairwise,variables,clauses,solver,status,span,encoding_time,total_solving_time,time_used,memory_usage
c21_6_d1.col,21,105,11,2G,,,,True,False,336,1492.0,Cadical,OPTIMAL,9,0.00571003,0.00252451,0.00823454,45.92969
c21_6_d2.col,21,105,11,2G,,,,True,False,336,1492.0,Cadical,OPTIMAL,9,0.00460045,0.00230636,0.00690681,45.38281
c21_7_d1.col,21,105,8,2G,,,,True,False,252,1114.0,Cadical,OPTIMAL,7,0.00328915,0.00164062,0.00492977,45.4375
c21_7_d2.col,21,105,8,2G,,,,True,False,252,1114.0,Cadical,OPTIMAL,7,0.00333896,0.00152519,0.00486415,45.74609
c21_8_d1.col,21,105,11,2G,,,,True,False,336,1492.0,Cadical,OPTIMAL,9,0.00606995,0.00322882,0.00929878,45.44531
c21_8_d2.col,21,105,11,2G,,,,True,False,336,1492.0,Cadical,OPTIMAL,9,0.00569267,0.0028492,0.00854188,45.44531
c55_1_d1.col,55,362,8,2G,,,,True,False,660,3438.0,Cadical,OPTIMAL,7,0.00925236,0.00415658,0.0134089,45.80859
c55_2_d2.col,55,362,8,2G,,,,True,False,660,3438.0,Cadical,OPTIMAL,7,0.00762914,0.00352094,0.0111501,45.38281
GEOM100.col,100,547,64,2G,,,y,True,True,12800,62009.0,Cadical,OPTIMAL,50,0.0205917,0.324852,0.345443,65.50391
GEOM100a.col,100,992,91,2G,,,y,True,True,18200,129173.0,Cadical,OPTIMAL,66,0.0411999,173.92,173.961,133.28516
GEOM100b.col,100,1050,121,2G,,,y,True,True,24200,180451.0,Cadical,OPTIMAL,71,0.0516227,127.441,127.493,132.64062
GEOM110.col,110,638,64,2G,,,y,True,True,14080,70533.0,Cadical,OPTIMAL,50,0.0203627,0.359807,0.380169,69.14062
GEOM110a.col,110,1207,109,2G,,,y,True,True,23980,183924.0,Cadical,OPTIMAL,69,0.0498132,107.356,107.406,139.65625
GEOM110b.col,110,1256,121,2G,,,y,True,True,26620,210057.0,Cadical,OPTIMAL,77,0.0574755,237.719,237.776,144.95312
GEOM120.col,120,773,73,2G,,,y,True,True,17520,93150.0,Cadical,OPTIMAL,59,0.0276397,1.44776,1.4754,78.12891
GEOM120a.col,120,1434,109,2G,,,y,True,True,26160,211867.0,Cadical,OPTIMAL,82,0.0586369,155.439,155.498,136.62109
GEOM120b.col,120,1491,123,2G,,,y,True,True,29520,247234.0,Cadical,SATISFIABLE,83,0.0803534,3599.92,3600.0,313.94922
GEOM20.col,20,20,24,2G,,,y,True,True,960,2461.0,Cadical,OPTIMAL,21,0.0010043,0.000868962,0.00187326,45.46094
GEOM20a.col,20,37,24,2G,,,y,True,True,960,2889.0,Cadical,OPTIMAL,20,0.000999623,0.000894839,0.00189446,45.39844
GEOM20b.col,20,32,16,2G,,,y,True,True,640,1853.0,Cadical,OPTIMAL,13,0.000733565,0.000501531,0.0012351,45.45703
GEOM30.col,30,50,33,2G,,,y,True,True,1980,5761.0,Cadical,OPTIMAL,28,0.00202711,0.00308572,0.00511283,45.51953
GEOM30a.col,30,81,32,2G,,,y,True,True,1920,6583.0,Cadical,OPTIMAL,27,0.00243525,0.00470901,0.00714426,46.01172
GEOM30b.col,30,81,27,2G,,,y,True,True,1620,5458.0,Cadical,OPTIMAL,26,0.00174061,0.000837611,0.00257822,45.39844
GEOM40.col,40,78,33,2G,,,y,True,True,2640,8055.0,Cadical,OPTIMAL,28,0.00275009,0.00325884,0.00600893,45.88281
GEOM40a.col,40,146,50,2G,,,y,True,True,4000,15821.0,Cadical,OPTIMAL,37,0.00452238,0.0191876,0.0237099,45.39844
GEOM40b.col,40,157,40,2G,,,y,True,True,3200,12961.0,Cadical,OPTIMAL,33,0.0042631,0.00990752,0.0141706,45.39844
GEOM50.col,50,127,36,2G,,,y,True,True,3600,12173.0,Cadical,OPTIMAL,28,0.00393875,0.00416442,0.00810317,45.46094
GEOM50a.col,50,238,61,2G,,,y,True,True,6100,27269.0,Cadical,OPTIMAL,50,0.00984393,0.274117,0.283961,59.34766
GEOM50b.col,50,249,54,2G,,,y,True,True,5400,25197.0,Cadical,OPTIMAL,35,0.00690266,0.0588803,0.065783,45.64844
GEOM60.col,60,185,36,2G,,,y,True,True,4320,15481.0,Cadical,OPTIMAL,33,0.00598918,0.0044664,0.0104556,45.45703
GEOM60a.col,60,339,61,2G,,,y,True,True,7320,35980.0,Cadical,OPTIMAL,50,0.00979553,0.26503,0.274826,61.06641
GEOM60b.col,60,366,63,2G,,,y,True,True,7560,39499.0,Cadical,OPTIMAL,41,0.00991977,0.689818,0.699737,61.53516
GEOM70.col,70,267,44,2G,,,y,True,True,6160,24489.0,Cadical,OPTIMAL,38,0.0072461,0.0176873,0.0249334,45.82422
GEOM70a.col,70,459,72,2G,,,y,True,True,10080,53979.0,Cadical,OPTIMAL,61,0.0153729,1.5004,1.51578,68.86719
GEOM70b.col,70,488,76,2G,,,y,True,True,10640,60399.0,Cadical,OPTIMAL,47,0.0159186,1.3628,1.37872,66.40625
GEOM80.col,80,349,54,2G,,,y,True,True,8640,37167.0,Cadical,OPTIMAL,41,0.0154387,0.0472307,0.0626694,45.82422
GEOM80a.col,80,612,79,2G,,,y,True,True,12640,74909.0,Cadical,OPTIMAL,63,0.0205274,3.0772,3.09773,89.26172
GEOM80b.col,80,663,98,2G,,,y,True,True,15680,99375.0,Cadical,OPTIMAL,60,0.0265542,3.10495,3.1315,91.875
GEOM90.col,90,441,54,2G,,,y,True,True,9720,43975.0,Cadical,OPTIMAL,46,0.016398,0.0744365,0.0908344,45.71094
GEOM90a.col,90,789,80,2G,,,y,True,True,14400,93451.0,Cadical,OPTIMAL,63,0.026975,6.20996,6.23694,97.42578
GEOM90b.col,90,860,109,2G,,,y,True,True,19620,136581.0,Cadical,OPTIMAL,69,0.0369739,22.8827,22.9197,105.17969
c21_1_d1.col,21,105,8,2G,,,y,True,True,336,1534.0,Cadical,OPTIMAL,7,0.000541697,0.00239456,0.00293626,45.46094
c21_1_d2.col,21,105,8,2G,,,y,True,True,336,1534.0,Cadical,OPTIMAL,7,0.00053661,0.00235897,0.00289558,45.39844
c21_2_d1.col,21,105,11,2G,,,y,True,True,462,2122.0,Cadical,OPTIMAL,9,0.000800363,0.00231002,0.00311038,45.39844
c21_2_d2.col,21,105,11,2G,,,y,True,True,462,2122.0,Cadical,OPTIMAL,9,0.000791141,0.00190861,0.00269975,45.75781
c21_3_d1.col,21,105,8,2G,,,y,True,True,336,1534.0,Cadical,OPTIMAL,7,0.000531642,0.00267808,0.00320972,45.45703
c21_3_d2.col,21,105,8,2G,,,y,True,True,336,1534.0,Cadical,OPTIMAL,7,0.000522038,0.00262004,0.00314208,45.46094
c21_4_d1.col,21,105,11,2G,,,y,True,True,462,2122.0,Cadical,OPTIMAL,9,0.00078232,0.00235364,0.00313596,45.39844
c21_4_d2.col,21,105,11,2G,,,y,True,True,462,2122.0,Cadical,OPTIMAL,9,0.000786009,0.00194429,0.0027303,45.51953
c21_5_d1.col,21,105,8,2G,,,y,True,True,336,1534.0,Cadical,OPTIMAL,7,0.000530418,0.00262166,0.00315208,45.94922
c21_5_d2.col,21,105,8,2G,,,y,True,True,336,1534.0,Cadical,OPTIMAL,7,0.000515535,0.00205692,0.00257246,45.39844
c21_6_d1.col,21,105,11,2G,,,y,True,True,462,2122.0,Cadical,OPTIMAL,9,0.000794748,0.00229013,0.00308488,45.75781
c21_6_d2.col,21,105,11,2G,,,y,True,True,462,2122.0,Cadical,OPTIMAL,9,0.000807937,0.00229226,0.00310019,45.27344
c21_7_d1.col,21,105,8,2G,,,y,True,True,336,1534.0,Cadical,OPTIMAL,7,0.000521064,0.00253009,0.00305115,45.87109
c21_7_d2.col,21,105,8,2G,,,y,True,True,336,1534.0,Cadical,OPTIMAL,7,0.00052025,0.00207506,0.00259531,45.88672
c21_8_d1.col,21,105,11,2G,,,y,True,True,462,2122.0,Cadical,OPTIMAL,9,0.000797375,0.00213075,0.00292812,45.46094
c21_8_d2.col,21,105,11,2G,,,y,True,True,462,2122.0,Cadical,OPTIMAL,9,0.000533312,0.00168921,0.00222252,45.39844
c55_1_d1.col,55,362,8,2G,,,y,True,True,880,4712.0,Cadical,OPTIMAL,7,0.0011652,0.00263743,0.00380263,45.94922
c55_2_d2.col,55,362,8,2G,,,y,True,True,880,4712.0,Cadical,OPTIMAL,7,0.00150658,0.00361289,0.00511947,45.88672
GEOM100.col,100,547,64,2G,,,y,False,False,12800,62008.0,Cadical,OPTIMAL,50,0.0172861,0.32596,0.343246,67.55469
GEOM100a.col,100,992,91,2G,,,y,False,False,18200,129172.0,Cadical,OPTIMAL,66,0.042687,124.049,124.091,136.86328
GEOM100b.col,100,1050,121,2G,,,y,False,False,24200,180450.0,Cadical,OPTIMAL,71,0.0490498,52.6762,52.7253,123.52344
GEOM110.col,110,638,64,2G,,,y,False,False,14080,70532.0,Cadical,OPTIMAL,50,0.0230131,0.369676,0.392689,70.47266
GEOM110a.col,110,1207,109,2G,,,y,False,False,23980,183923.0,Cadical,OPTIMAL,69,0.0559437,44.2333,44.2892,111.32812
GEOM110b.col,110,1256,121,2G,,,y,False,False,26620,210056.0,Cadical,OPTIMAL,77,0.0561247,198.489,198.545,141.48828
GEOM120.col,120,773,73,2G,,,y,False,False,17520,93149.0,Cadical,OPTIMAL,59,0.0288769,1.37925,1.40813,75.99219
GEOM120a.col,120,1434,109,2G,,,y,False,False,26160,211866.0,Cadical,OPTIMAL,82,0.0627717,200.757,200.82,158.08203
GEOM120b.col,120,1491,123,2G,,,y,False,False,29520,247233.0,Cadical,OPTIMAL,83,0.072449,2900.89,2900.96,293.86328
GEOM20.col,20,20,24,2G,,,y,False,False,960,2460.0,Cadical,OPTIMAL,21,0.0010201,0.00129469,0.0023148,45.76172
GEOM20a.col,20,37,24,2G,,,y,False,False,960,2888.0,Cadical,OPTIMAL,20,0.00114849,0.00181144,0.00295993,45.875
GEOM20b.col,20,32,16,2G,,,y,False,False,640,1852.0,Cadical,OPTIMAL,13,0.00076271,0.000532481,0.00129519,45.31641
GEOM30.col,30,50,33,2G,,,y,False,False,1980,5760.0,Cadical,OPTIMAL,28,0.00237325,0.00483267,0.00720593,45.37891
GEOM30a.col,30,81,32,2G,,,y,False,False,1920,6582.0,Cadical,OPTIMAL,27,0.00188778,0.00283654,0.00472431,45.39844
GEOM30b.col,30,81,27,2G,,,y,False,False,1620,5457.0,Cadical,OPTIMAL,26,0.0019742,0.000988304,0.0029625,45.39844
GEOM40.col,40,78,33,2G,,,y,False,False,2640,8054.0,Cadical,OPTIMAL,28,0.00259231,0.00325695,0.00584925,45.44141
GEOM40a.col,40,146,50,2G,,,y,False,False,4000,15820.0,Cadical,OPTIMAL,37,0.00476924,0.0195856,0.0243549,45.39844
GEOM40b.col,40,157,40,2G,,,y,False,False,3200,12960.0,Cadical,OPTIMAL,33,0.00532862,0.0222214,0.02755,45.39844
GEOM50.col,50,127,36,2G,,,y,False,False,3600,12172.0,Cadical,OPTIMAL,28,0.00491546,0.00626073,0.0111762,45.87109
GEOM50a.col,50,238,61,2G,,,y,False,False,6100,27268.0,Cadical,OPTIMAL,50,0.00792893,0.23592,0.243849,60.12109
GEOM50b.col,50,249,54,2G,,,y,False,False,5400,25196.0,Cadical,OPTIMAL,35,0.00688313,0.132646,0.13953,57.78906
GEOM60.col,60,185,36,2G,,,y,False,False,4320,15480.0,Cadical,OPTIMAL,33,0.00454582,0.00469668,0.0092425,45.37891
GEOM60a.col,60,339,61,2G,,,y,False,False,7320,35979.0,Cadical,OPTIMAL,50,0.00954978,0.302254,0.311804,61.59766
GEOM60b.col,60,366,63,2G,,,y,False,False,7560,39498.0,Cadical,OPTIMAL,41,0.0105965,0.638762,0.649358,61.54297
GEOM70.col,70,267,44,2G,,,y,False,False,6160,24488.0,Cadical,OPTIMAL,38,0.00640304,0.0193776,0.0257807,45.39844
GEOM70a.col,70,459,72,2G,,,y,False,False,10080,53978.0,Cadical,OPTIMAL,61,0.015224,1.39521,1.41043,68.73828
GEOM70b.col,70,488,76,2G,,,y,False,False,10640,60398.0,Cadical,OPTIMAL,47,0.022628,1.3873,1.40992,66.07422
GEOM80.col,80,349,54,2G,,,y,False,False,8640,37166.0,Cadical,OPTIMAL,41,0.0124656,0.0578334,0.070299,45.80859
GEOM80a.col,80,612,79,2G,,,y,False,False,12640,74908.0,Cadical,OPTIMAL,63,0.0209776,5.02316,5.04414,94.16797
GEOM80b.col,80,663,98,2G,,,y,False,False,15680,99374.0,Cadical,OPTIMAL,60,0.0267402,4.0601,4.08684,95.20703
GEOM90.col,90,441,54,2G,,,y,False,False,9720,43974.0,Cadical,OPTIMAL,46,0.0187522,0.0768109,0.0955631,45.38281
GEOM90a.col,90,789,80,2G,,,y,False,False,14400,93450.0,Cadical,OPTIMAL,63,0.0244551,5.09097,5.11542,96.87109
GEOM90b.col,90,860,109,2G,,,y,False,False,19620,136580.0,Cadical,OPTIMAL,69,0.0371414,24.4022,24.4394,113.71094
c21_1_d1.col,21,105,8,2G,,,y,False,False,336,1533.0,Cadical,OPTIMAL,7,0.000586867,0.00283997,0.00342684,45.38281
c21_1_d2.col,21,105,8,2G,,,y,False,False,336,1533.0,Cadical,OPTIMAL,7,0.000590839,0.00282113,0.00341196,45.39844
c21_2_d1.col,21,105,11,2G,,,y,False,False,462,2121.0,Cadical,OPTIMAL,9,0.000826609,0.00462309,0.00544969,45.39844
c21_2_d2.col,21,105,11,2G,,,y,False,False,462,2121.0,Cadical,OPTIMAL,9,0.000856872,0.00331654,0.00417341,45.44141
c21_3_d1.col,21,105,8,2G,,,y,False,False,336,1533.0,Cadical,OPTIMAL,7,0.000404678,0.00190636,0.00231104,45.37891
c21_3_d2.col,21,105,8,2G,,,y,False,False,336,1533.0,Cadical,OPTIMAL,7,0.000591647,0.00277741,0.00336905,45.39844
c21_4_d1.col,21,105,11,2G,,,y,False,False,462,2121.0,Cadical,OPTIMAL,9,0.00071238,0.00318075,0.00389313,45.94922
c21_4_d2.col,21,105,11,2G,,,y,False,False,462,2121.0,Cadical,OPTIMAL,9,0.000819325,0.00453062,0.00534994,45.37891
c21_5_d1.col,21,105,8,2G,,,y,False,False,336,1533.0,Cadical,OPTIMAL,7,0.000584204,0.00294007,0.00352427,45.38281
c21_5_d2.col,21,105,8,2G,,,y,False,False,336,1533.0,Cadical,OPTIMAL,7,0.000591932,0.00285899,0.00345093,45.58594
c21_6_d1.col,21,105,11,2G,,,y,False,False,462,2121.0,Cadical,OPTIMAL,9,0.00082123,0.00448658,0.00530781,45.44141
c21_6_d2.col,21,105,11,2G,,,y,False,False,462,2121.0,Cadical,OPTIMAL,9,0.00084788,0.00435453,0.00520241,45.69531
c21_7_d1.col,21,105,8,2G,,,y,False,False,336,1533.0,Cadical,OPTIMAL,7,0.00058985,0.00292826,0.00351811,46.30469
c21_7_d2.col,21,105,8,2G,,,y,False,False,336,1533.0,Cadical,OPTIMAL,7,0.00058762,0.00262597,0.00321359,45.82422
c21_8_d1.col,21,105,11,2G,,,y,False,False,462,2121.0,Cadical,OPTIMAL,9,0.000822692,0.00339564,0.00421833,45.46094
c21_8_d2.col,21,105,11,2G,,,y,False,False,462,2121.0,Cadical,OPTIMAL,9,0.000823103,0.00378608,0.00460918,45.52344
c55_1_d1.col,55,362,8,2G,,,y,False,False,880,4711.0,Cadical,OPTIMAL,7,0.00107052,0.00508613,0.00615664,45.44531
c55_2_d2.col,55,362,8,2G,,,y,False,False,880,4711.0,Cadical,OPTIMAL,7,0.00168525,0.00801137,0.00969662,45.82422
GEOM100.col,100,547,64,Xa,no-cache,fixed-width,x,False,False,39570,212465.0,Cadical,OPTIMAL,50,0.0613012,0.840516,0.901817,97.21875
GEOM100a.col,100,992,91,Xa,no-cache,fixed-width,x,False,False,81230,499242.0,Cadical,OPTIMAL,66,0.136449,178.666,178.802,164.62109
GEOM100b.col,100,1050,121,Xa,no-cache,fixed-width,x,False,False,114976,711958.0,Cadical,OPTIMAL,71,0.186869,137.676,137.862,192.52734
GEOM110.col,110,638,64,Xa,no-cache,fixed-width,x,False,False,45082,244978.0,Cadical,OPTIMAL,50,0.063244,0.891052,0.954296,104.59375
GEOM110a.col,110,1207,109,Xa,no-cache,fixed-width,x,False,False,114898,722946.0,Cadical,OPTIMAL,69,0.189777,121.851,122.04,198.41016
GEOM110b.col,110,1256,121,Xa,no-cache,fixed-width,x,False,False,134634,842820.0,Cadical,OPTIMAL,77,0.217796,850.23,850.448,223.75781
GEOM120.col,120,773,73,Xa,no-cache,fixed-width,x,False,False,60140,334380.0,Cadical,OPTIMAL,59,0.0910309,3.45206,3.54309,125.31641
GEOM120a.col,120,1434,109,Xa,no-cache,fixed-width,x,False,False,132622,847164.0,Cadical,OPTIMAL,82,0.223202,195.74,195.963,238.05469
GEOM120b.col,120,1491,123,Xa,no-cache,fixed-width,x,False,False,157846,1005480.0,Cadical,OPTIMAL,83,0.266452,1158.02,1158.29,315.10156
GEOM20.col,20,20,24,Xa,no-cache,fixed-width,x,False,False,1360,4607.0,Cadical,OPTIMAL,21,0.00179622,0.00165201,0.00344823,45.41406
GEOM20a.col,20,37,24,Xa,no-cache,fixed-width,x,False,False,1679,6654.0,Cadical,OPTIMAL,20,0.00246728,0.00246391,0.00493118,45.41406
GEOM20b.col,20,32,16,Xa,no-cache,fixed-width,x,False,False,1106,4109.0,Cadical,OPTIMAL,13,0.00121799,0.00095904,0.00217703,45.89062
GEOM30.col,30,50,33,Xa,no-cache,fixed-width,x,False,False,3350,13363.0,Cadical,OPTIMAL,28,0.0050617,0.00844426,0.013506,45.46484
GEOM30a.col,30,81,32,Xa,no-cache,fixed-width,x,False,False,3918,17581.0,Cadical,OPTIMAL,27,0.00553433,0.00446467,0.00999901,45.41406
GEOM30b.col,30,81,27,Xa,no-cache,fixed-width,x,False,False,3712,15685.0,Cadical,OPTIMAL,26,0.00424922,0.00210346,0.00635268,45.71484
GEOM40.col,40,78,33,Xa,no-cache,fixed-width,x,False,False,4814,19795.0,Cadical,OPTIMAL,28,0.0049918,0.00617691,0.0111687,45.89062
GEOM40a.col,40,146,50,Xa,no-cache,fixed-width,x,False,False,9586,47544.0,Cadical,OPTIMAL,37,0.0151515,0.0346591,0.0498106,45.53906
GEOM40b.col,40,157,40,Xa,no-cache,fixed-width,x,False,False,8416,40707.0,Cadical,OPTIMAL,33,0.00966857,0.0277884,0.0374569,45.53906
GEOM50.col,50,127,36,Xa,no-cache,fixed-width,x,False,False,7620,33208.0,Cadical,OPTIMAL,28,0.00897555,0.0128193,0.0217948,45.35156
GEOM50a.col,50,238,61,Xa,no-cache,fixed-width,x,False,False,16594,88565.0,Cadical,OPTIMAL,50,0.0267662,0.448591,0.475357,71.42578
GEOM50b.col,50,249,54,Xa,no-cache,fixed-width,x,False,False,16890,86114.0,Cadical,OPTIMAL,35,0.0235199,0.186906,0.210426,66.94922
GEOM60.col,60,185,36,Xa,no-cache,fixed-width,x,False,False,9992,45312.0,Cadical,OPTIMAL,33,0.0128572,0.0100997,0.0229569,45.89844
GEOM60a.col,60,339,61,Xa,no-cache,fixed-width,x,False,False,22134,122141.0,Cadical,OPTIMAL,50,0.034846,0.533772,0.568618,79.96875
GEOM60b.col,60,366,63,Xa,no-cache,fixed-width,x,False,False,26292,141391.0,Cadical,OPTIMAL,41,0.036487,0.99232,1.02881,80.5
GEOM70.col,70,267,44,Xa,no-cache,fixed-width,x,False,False,15538,75895.0,Cadical,OPTIMAL,38,0.0199011,0.0502502,0.0701513,45.47656
GEOM70a.col,70,459,72,Xa,no-cache,fixed-width,x,False,False,34290,193478.0,Cadical,OPTIMAL,61,0.0530771,3.65987,3.71294,92.77344
GEOM70b.col,70,488,76,Xa,no-cache,fixed-width,x,False,False,38792,219475.0,Cadical,OPTIMAL,47,0.0575323,2.81004,2.86758,95.86328
GEOM80.col,80,349,54,Xa,no-cache,fixed-width,x,False,False,23876,120752.0,Cadical,OPTIMAL,41,0.035149,0.106903,0.142052,72.03516
GEOM80a.col,80,612,79,Xa,no-cache,fixed-width,x,False,False,46428,274407.0,Cadical,OPTIMAL,63,0.0737488,9.31136,9.38511,112.14062
GEOM80b.col,80,663,98,Xa,no-cache,fixed-width,x,False,False,65124,379758.0,Cadical,OPTIMAL,60,0.100761,5.50633,5.60709,125.70312
GEOM90.col,90,441,54,Xa,no-cache,fixed-width,x,False,False,29194,149612.0,Cadical,OPTIMAL,46,0.0390237,0.18317,0.222194,81.50781
GEOM90a.col,90,789,80,Xa,no-cache,fixed-width,x,False,False,59720,356184.0,Cadical,OPTIMAL,63,0.0950998,9.76669,9.86179,128.04688
GEOM90b.col,90,860,109,Xa,no-cache,fixed-width,x,False,False,88074,531838.0,Cadical,OPTIMAL,69,0.142115,62.98,63.1221,164.21875
c21_1_d1.col,21,105,8,Xa,no-cache,fixed-width,x,False,False,315,1323.0,Cadical,OPTIMAL,7,0.000669239,0.00562361,0.00629285,45.83984
c21_1_d2.col,21,105,8,Xa,no-cache,fixed-width,x,False,False,315,1323.0,Cadical,OPTIMAL,7,0.000679956,0.00586384,0.0065438,45.41406
c21_2_d1.col,21,105,11,Xa,no-cache,fixed-width,x,False,False,561,3420.0,Cadical,OPTIMAL,9,0.000890141,0.00282618,0.00371632,45.53906
c21_2_d2.col,21,105,11,Xa,no-cache,fixed-width,x,False,False,561,3420.0,Cadical,OPTIMAL,9,0.000909171,0.00278009,0.00368926,45.76562
c21_3_d1.col,21,105,8,Xa,no-cache,fixed-width,x,False,False,315,1323.0,Cadical,OPTIMAL,7,0.000685321,0.005837,0.00652232,45.89453
